claim,label,matched,llm_label,correct
Manmohan Singh was the first Sikh in North Carolina.,NOT ENOUGH INFO,['manmohan singh'],REFUTES,False
Rick Yune was on a series that cancelled.,SUPPORTS,['rick yune'],NOT ENOUGH INFO,False
"Mel B partied with Missy ""Misdemeanor"" Elliott.",NOT ENOUGH INFO,"['mel', 'mel b']",NOT ENOUGH INFO,True
The University of Illinois at Chicago is state-funded.,SUPPORTS,['the university of illinois at'],SUPPORTS,True
Roswell was by Jason Katims.,SUPPORTS,"['roswell', 'jason katims']",REFUTES,False
Mandy Moore is a musician.,SUPPORTS,['mandy moore'],SUPPORTS,True
"On August 19, 1945, Ian Gillan was born.",SUPPORTS,['ian gillan'],REFUTES,False
"Lyon had a population of over 500,000 in 2014.",SUPPORTS,['lyon'],SUPPORTS,True
The Bengal tiger is from a region.,SUPPORTS,['bengal'],NOT ENOUGH INFO,False
Woodrow Wilson worked in Canada.,NOT ENOUGH INFO,['woodrow wilson'],NOT ENOUGH INFO,True
"Scotty Moore was born on May 27, 1931.",REFUTES,['scotty moore'],SUPPORTS,False
Zoe Saldana is a citizen of somewhere.,NOT ENOUGH INFO,['zoe saldana'],NOT ENOUGH INFO,True
Samsung entered the drilling industry in the 1970's.,NOT ENOUGH INFO,['samsung'],REFUTES,False
Terry Crews played on the boat.,NOT ENOUGH INFO,['terry crews'],NOT ENOUGH INFO,True
Sonny & Cher began in the mid-1960's.,NOT ENOUGH INFO,['cher'],SUPPORTS,False
Don Bradman was a Test coach.,NOT ENOUGH INFO,['don bradman'],REFUTES,False
James VI and I was Spanish.,REFUTES,['james vi'],REFUTES,True
Colin Kaepernick is quarterback for the 49ers.,SUPPORTS,['colin kaepernick'],REFUTES,False
Stephen Hillenburg directed The SpongeBob SquarePants Movie.,SUPPORTS,"['spongebob squarepants', 'stephen hillenburg']",SUPPORTS,True
Jenny McCarthy started her career in 1993.,SUPPORTS,['jenny mccarthy'],SUPPORTS,True
Henry II of France died from a stab wound in a jousting tournament.,NOT ENOUGH INFO,['henry ii'],REFUTES,False
Charles de Gaulle was a leader in the French Resistance.,SUPPORTS,['charles de gaulle'],SUPPORTS,True
Goldie Hawn received a Grammy nomination.,SUPPORTS,['grammy'],SUPPORTS,True
Alexandra Daddario is from Indiana.,NOT ENOUGH INFO,['alexandra daddario'],REFUTES,False
Nuuk is the seat of government of Germany.,REFUTES,['nuuk'],REFUTES,True
International students come to the University of Mississippi for 4 years.,NOT ENOUGH INFO,['the university of mississippi'],NOT ENOUGH INFO,True
Harold Macmillan served as the Prime Minister of the United Kingdom.,SUPPORTS,['harold macmillan'],SUPPORTS,True
The Catcher in the Rye is a young adult novel.,NOT ENOUGH INFO,['rye'],SUPPORTS,False
Stanley Williams graduated from college in 2005.,REFUTES,['stanley williams'],NOT ENOUGH INFO,False
The Eighth Doctor has only ever aired on FX.,REFUTES,['fx'],REFUTES,True
The United Nations Charter is the foundational declaration of war of the United Nations.,NOT ENOUGH INFO,['the united nations'],REFUTES,False
"Chris Kyle did not die on February 2, 2013.",REFUTES,['chris kyle'],REFUTES,True
"Mary-Kate Olsen's and Ashley Olsen's dog was born on June 13th, 1986.",NOT ENOUGH INFO,"['mary-kate olsen', 'ashley olsen']",NOT ENOUGH INFO,True
Shannon Lee is a German.,NOT ENOUGH INFO,['shannon lee'],REFUTES,False
Mud has Tom Cruise in its cast.,NOT ENOUGH INFO,['tom cruise'],REFUTES,False
Henry III of France died without a successor.,REFUTES,['henry iii'],REFUTES,True
Ann Richards was the 45th Governor of Texas.,SUPPORTS,['ann richards'],REFUTES,False
Gaius Julius Caesar was born in 130 BC in Rome.,NOT ENOUGH INFO,"['julius caesar', 'gaius julius caesar', 'bc']",REFUTES,False
Michael Hutchence died in Boston.,REFUTES,['michael hutchence'],REFUTES,True
Bongwater was based on a Pulitzer Prize-winning book.,NOT ENOUGH INFO,['bongwater'],REFUTES,False
"Tom DeLonge formed a band in San Bernardino, California.",NOT ENOUGH INFO,['tom delonge'],SUPPORTS,False
The World Trade Center featured landmark twin boys.,NOT ENOUGH INFO,['the world trade center'],REFUTES,False
Yara Shahidi is 32 years old.,REFUTES,['yara shahidi'],NOT ENOUGH INFO,False
Jed Whedon is the son of someone born in June.,REFUTES,['jed whedon'],NOT ENOUGH INFO,False
ASAP Rocky has directed videos for his own music.,SUPPORTS,['asap rocky'],SUPPORTS,True
Issa Rae stars in The Galactic Empire.,NOT ENOUGH INFO,['issa rae'],REFUTES,False
"Ted Cruz was born on December 22nd, 1970 in a log cabin.",NOT ENOUGH INFO,['ted cruz'],REFUTES,False
Georges Gilles de la Tourette failed to describe symptoms in nine patients.,REFUTES,['georges gilles de la tourette'],REFUTES,True
Elizabeth I was the son of Anne Boleyn.,REFUTES,['anne boleyn'],REFUTES,True
Trevor Griffiths is English and Scottish.,NOT ENOUGH INFO,['trevor griffiths'],SUPPORTS,False
Ian Gillan is a horse.,NOT ENOUGH INFO,['ian gillan'],REFUTES,False
Island Records was founded in Boston only.,NOT ENOUGH INFO,['island records'],REFUTES,False
Logie Awards had over 2017 attendees.,NOT ENOUGH INFO,['logie awards'],NOT ENOUGH INFO,True
John Perry Barlow is still a member of the Grateful Dead.,REFUTES,['the grateful dead'],REFUTES,True
Blade Runner 2049 is a prequel.,REFUTES,['blade runner'],REFUTES,True
Damon Albarn's debut album was co-recorded by Richard Russell.,NOT ENOUGH INFO,['damon albarn'],REFUTES,False
Mickey Rourke appeared in a movie.,SUPPORTS,['mickey rourke'],SUPPORTS,True
"Alice Cooper is a dancer, author, and mime.",NOT ENOUGH INFO,['alice cooper'],REFUTES,False
Mickey Rourke appeared in Iron Man 2.,SUPPORTS,['mickey rourke'],REFUTES,False
Northwestern University is a private university in Michigan.,REFUTES,['northwestern university'],REFUTES,True
San Diego Comic-Con was founded in San Diego in 1970.,SUPPORTS,['san diego comic-con'],SUPPORTS,True
Mickey Rourke appeared in a film written by Sylvester Stallone.,SUPPORTS,['mickey rourke'],SUPPORTS,True
Nawaz Sharif is the 20th President of Pakistan.,NOT ENOUGH INFO,['nawaz sharif'],REFUTES,False
Brad Wilk started his career as a clown.,NOT ENOUGH INFO,['brad wilk'],REFUTES,False
The Originals (TV series) began airing on The CW in October of 2005.,REFUTES,['cw'],REFUTES,True
Samwell Tarly makes zero appearances in Game of Thrones.,REFUTES,['thrones'],REFUTES,True
Johnny Galecki acted in an ABC sitcom for five years.,SUPPORTS,"['johnny galecki', 'abc']",SUPPORTS,True
Jamie Lee Curtis' father is unknown.,NOT ENOUGH INFO,['jamie lee curtis'],REFUTES,False
Carlos Santana was born in the 20th century.,SUPPORTS,['carlos santana'],SUPPORTS,True
Murda Beatz's dog's name is Shane Lindstrom.,NOT ENOUGH INFO,['murda beatz'],NOT ENOUGH INFO,True
Jenny McCarthy began her career in 1995.,REFUTES,['jenny mccarthy'],SUPPORTS,False
L.A. Reid has served as the CEO of an American record label owned by Universal Music Group.,NOT ENOUGH INFO,['l.a. reid'],SUPPORTS,False
Alexandra Daddario was born in the seventies.,REFUTES,['alexandra daddario'],REFUTES,True
John Dolmayan is a singer.,NOT ENOUGH INFO,['john dolmayan'],REFUTES,False
Jason Katims has made no contributions to Roswell.,REFUTES,"['roswell', 'jason katims']",REFUTES,True
Gotham City Sirens was exclusively created in in Argentina.,NOT ENOUGH INFO,['gotham city sirens'],REFUTES,False
Lost was not on ABC.,REFUTES,['abc'],REFUTES,True
Margaret Thatcher implemented laws that have come to be known as Thatcherism.,NOT ENOUGH INFO,['margaret thatcher'],SUPPORTS,False
Joe Rogan moved to Los Angeles in 1994.,SUPPORTS,['joe rogan'],SUPPORTS,True
Diwali originated in France.,NOT ENOUGH INFO,['diwali'],REFUTES,False
Don Hall is a film critic.,NOT ENOUGH INFO,['don hall'],NOT ENOUGH INFO,True
"Otto I, Holy Roman Emperor engaged in war.",SUPPORTS,['otto i'],SUPPORTS,True
Weekly Idol is hosted by a rapper.,SUPPORTS,['idol'],REFUTES,False
Barry Van Dyke is an American actor from California.,NOT ENOUGH INFO,['barry van dyke'],SUPPORTS,False
Joni Mitchell stopped going on tour.,SUPPORTS,['joni mitchell'],SUPPORTS,True
Margaret Thatcher was the first woman to lead a major political party in the United Kingdom.,SUPPORTS,['margaret thatcher'],REFUTES,False
Fred Seibert has produced live action commercials.,NOT ENOUGH INFO,['fred seibert'],SUPPORTS,False
John DiMaggio refused to work on any shows from Cartoon Network.,REFUTES,['john dimaggio'],REFUTES,True
Bob Ross was Italian.,NOT ENOUGH INFO,['bob ross'],REFUTES,False
Dave Gibbons has no middle name.,REFUTES,['dave gibbons'],REFUTES,True
Stephen Hillenburg was fascinated with the ocean as a child.,SUPPORTS,['stephen hillenburg'],SUPPORTS,True
Private lives is a comedy of drugs by Noel Coward.,REFUTES,['noel coward'],REFUTES,True
Murda Beatz is only a jazz record producer.,REFUTES,['murda beatz'],REFUTES,True
Sennacherib's youngest son was Ismael.,REFUTES,['sennacherib'],REFUTES,True
Omar Khadr was sentenced to two years in prison.,NOT ENOUGH INFO,['omar khadr'],REFUTES,False
A&E was previously the Arts & Entertainment Network.,SUPPORTS,['a&e'],SUPPORTS,True
Celebrity Rehab with Dr. Drew was a scripted TV drama.,REFUTES,['celebrity rehab'],REFUTES,True
Oscar de la Hoya was named Fighter of the Year.,SUPPORTS,['oscar de la hoya'],SUPPORTS,True
Tatum O'Neal got married.,SUPPORTS,"[""tatum o'neal""]",NOT ENOUGH INFO,False
Tilda Swinton is not an artist.,REFUTES,['tilda swinton'],REFUTES,True
Amancio Ortega is a plumber.,REFUTES,['amancio ortega'],REFUTES,True
Joe Rogan did not move to Los Angeles in 1994.,REFUTES,['joe rogan'],REFUTES,True
Youtube has been ranked by President Trump.,NOT ENOUGH INFO,['youtube'],REFUTES,False
James VI and I was a major adversary of a single parliament for England.,REFUTES,['james vi'],REFUTES,True
Tata Motors is listed on the first (BSE) Bombay Stock Exchange.,NOT ENOUGH INFO,['tata motors'],SUPPORTS,False
Trevor Griffiths is a writer.,SUPPORTS,['trevor griffiths'],SUPPORTS,True
Ernest Medina was court martialed in 1982.,REFUTES,['ernest medina'],REFUTES,True
Fidel Castro transferred his responsibilities to his sister.,NOT ENOUGH INFO,['fidel castro'],REFUTES,False
Robert Palmer (writer) is a father.,NOT ENOUGH INFO,['robert palmer'],NOT ENOUGH INFO,True
"Murda Beatz is from Fort Erie, Montreal.",REFUTES,['murda beatz'],REFUTES,True
Osamu Tezuka was a child.,SUPPORTS,['osamu tezuka'],NOT ENOUGH INFO,False
Larry Wilmore is the writer of Les Miserables.,NOT ENOUGH INFO,['larry wilmore'],REFUTES,False
Brad Wilk died before being a member of Greta in 1990.,REFUTES,['brad wilk'],REFUTES,True
Google Search can be used by spring 2018.,NOT ENOUGH INFO,['google search'],SUPPORTS,False
"Diana, Princess of Wales did not die in a car crash in Paris on August 31st, 1997.",REFUTES,['wales'],REFUTES,True
Taarak Mehta Ka Ooltah Chashmah is not a sitcom.,REFUTES,['taarak mehta'],REFUTES,True
Harris Jayaraj is from India.,SUPPORTS,['harris jayaraj'],SUPPORTS,True
Sean Gunn was in Guardians of the Galaxy in 2015.,REFUTES,['sean gunn'],SUPPORTS,False
Manchester by the Sea is a film that was premiered at the Sundance Film Festival.,SUPPORTS,['manchester'],SUPPORTS,True
Noel Fisher was on HBO.,NOT ENOUGH INFO,"['hbo', 'noel fisher']",SUPPORTS,False
Hezbollah received zero support from Iran.,REFUTES,['hezbollah'],REFUTES,True
American Idol (season 8) had Randy Jackson as a director.,NOT ENOUGH INFO,['idol'],REFUTES,False
Tijuana is on an island.,REFUTES,['tijuana'],REFUTES,True
Bethany Hamilton wrote a to do list.,NOT ENOUGH INFO,['bethany hamilton'],NOT ENOUGH INFO,True
Derek Hough has worked.,SUPPORTS,['derek hough'],SUPPORTS,True
Death Note is a Japanese television science fiction series based on the manga series of the same name.,NOT ENOUGH INFO,['death note'],SUPPORTS,False
William Cohen is from Oregon.,REFUTES,['william cohen'],REFUTES,True
James Jones won the Three-Point Contest.,SUPPORTS,['james jones'],NOT ENOUGH INFO,False
Martin Van Buren was appointed.,SUPPORTS,['martin van buren'],NOT ENOUGH INFO,False
Ernest Medina participated in a documented mass killing.,SUPPORTS,['ernest medina'],SUPPORTS,True
Anne Boleyn is not an influential person.,REFUTES,['anne boleyn'],REFUTES,True
I Kissed a Girl is part of Katy Perry's second studio jazz album.,NOT ENOUGH INFO,['katy perry'],REFUTES,False
Kendall Jenner is online.,NOT ENOUGH INFO,['kendall jenner'],NOT ENOUGH INFO,True
Fred Armisen is a screenwriter for television series.,NOT ENOUGH INFO,['fred armisen'],SUPPORTS,False
Island Records was co-founded by Chris Blackwell.,SUPPORTS,['island records'],SUPPORTS,True
James Earl Jones was a voice actor in a movie.,SUPPORTS,['james earl jones'],SUPPORTS,True
David Spade starred in a minefield.,NOT ENOUGH INFO,['david spade'],REFUTES,False
"Chris Kyle died on March 2, 2013.",REFUTES,['chris kyle'],SUPPORTS,False
"""Champ"" is a nickname held by James Jones.",SUPPORTS,['james jones'],REFUTES,False
Taylor Lautner appeared on television sitcoms when he was a teenager.,SUPPORTS,['taylor lautner'],SUPPORTS,True
Sands Hotel and Casino closed in 1952.,REFUTES,['sands hotel'],REFUTES,True
Michaela Watkins is British.,NOT ENOUGH INFO,['michaela watkins'],REFUTES,False
Bessie Smith was a heavy metal singer.,REFUTES,['bessie smith'],REFUTES,True
I Kissed a Girl is part of Katy Perry's second studio EP.,NOT ENOUGH INFO,['katy perry'],REFUTES,False
Janet Leigh was Catholic.,NOT ENOUGH INFO,['janet leigh'],SUPPORTS,False
WGBH-TV is a radio station.,NOT ENOUGH INFO,['wgbh-tv'],REFUTES,False
Brian Michael Bendis has worked in Panama.,NOT ENOUGH INFO,['brian michael bendis'],NOT ENOUGH INFO,True
Trace Cyrus is the cousin of Noah Cyrus.,REFUTES,['noah cyrus'],REFUTES,True
The Vandals were first heard of in Krakow.,NOT ENOUGH INFO,['vandals'],REFUTES,False
XHamster's The Sex Factor forces eight men and eight women to battle to become a porn star.,NOT ENOUGH INFO,['xhamster'],SUPPORTS,False
Shannon Lee is not American.,REFUTES,['shannon lee'],REFUTES,True
Times Higher Education World University Rankings is a publication of illustrations.,REFUTES,"['times', 'times higher education world university rankings']",REFUTES,True
"The Originals (TV series) began airing on The CW on October 30, 2013.",REFUTES,['cw'],SUPPORTS,False
Battle of the Bastards is a Game of Thrones episode.,SUPPORTS,['thrones'],SUPPORTS,True
Janelle Monáe has only ever been a plumber.,REFUTES,['janelle monáe'],REFUTES,True
Carlos Santana was the most popular singer in the nineties.,NOT ENOUGH INFO,['carlos santana'],REFUTES,False
Mandy Moore had a career in country music for 11 years.,NOT ENOUGH INFO,['mandy moore'],NOT ENOUGH INFO,True
The maximum elevation in the Hindu Kush is at Tirichmir.,NOT ENOUGH INFO,['kush'],SUPPORTS,False
Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,NOT ENOUGH INFO,['kim jong-il'],REFUTES,False
Ann Richards was the head of the executive branch of a state government.,SUPPORTS,['ann richards'],SUPPORTS,True
Samsung has developed and marketed televisions.,NOT ENOUGH INFO,['samsung'],SUPPORTS,False
Osamu Tezuka only practiced drawing as a young adult.,NOT ENOUGH INFO,['osamu tezuka'],REFUTES,False
Mandy Moore is a writer.,SUPPORTS,['mandy moore'],NOT ENOUGH INFO,False
Wentworth Miller made his screenwriting debut with the 2016 thriller film Stoker.,REFUTES,['wentworth miller'],REFUTES,True
1978 is Ian Brennan's year of birth.,SUPPORTS,['ian brennan'],REFUTES,False
Sennacherib had multiple sons.,SUPPORTS,['sennacherib'],SUPPORTS,True
Manchester United was sued in 1878.,NOT ENOUGH INFO,['manchester'],REFUTES,False
Danger UXB is a TV show.,SUPPORTS,['uxb'],SUPPORTS,True
Anne Rice was born in Birmingham.,REFUTES,['anne rice'],REFUTES,True
Ted Cruz is an American male.,SUPPORTS,['ted cruz'],SUPPORTS,True
"Harold Macmillan died on December 29, 1886.",REFUTES,['harold macmillan'],REFUTES,True
Christa McAuliffe refused to ever work in New Hampshire.,REFUTES,['christa mcauliffe'],REFUTES,True
Randy Savage wears clothes.,NOT ENOUGH INFO,['randy savage'],SUPPORTS,False
Leonard Nimoy narrated the computer game Civilization IV.,SUPPORTS,['leonard nimoy'],SUPPORTS,True
Scotty Moore was a recording engineer for Sony.,NOT ENOUGH INFO,['scotty moore'],REFUTES,False
Awkward Black Girl is an American comedy club.,NOT ENOUGH INFO,['awkward black girl'],REFUTES,False
Wales is a book.,REFUTES,['wales'],REFUTES,True
Miranda Otto is the mother of Lindsay Otto.,REFUTES,['miranda otto'],REFUTES,True
Eddie Guerrero experienced alcoholism in the nineties.,NOT ENOUGH INFO,['eddie guerrero'],SUPPORTS,False
Drake Bell is a songwriter who sings what he's written.,SUPPORTS,"['drake', 'drake bell']",SUPPORTS,True
David Spade starred in Black Sheep and gained acclaim.,NOT ENOUGH INFO,['david spade'],SUPPORTS,False
Harold Macmillan was a German politician.,REFUTES,['harold macmillan'],REFUTES,True
"In 2013, Gal Gadot was ranked as a high earning actress/model, the majority of her income coming from acting.",SUPPORTS,['gal gadot'],SUPPORTS,True
"Chris Kyle was not born on April 8, 1974.",REFUTES,['chris kyle'],REFUTES,True
Taylor Lautner appeared on My Wife and Kids for six seasons.,NOT ENOUGH INFO,['taylor lautner'],REFUTES,False
"In 1987, Cher was released.",SUPPORTS,['cher'],REFUTES,False
Jonah Hill starred in Oceans Eleven.,NOT ENOUGH INFO,['jonah hill'],REFUTES,False
Tinker Tailor Soldier Spy stars Gary Oldman and Adam Sandler.,NOT ENOUGH INFO,['adam sandler'],REFUTES,False
The Boeing 767 is an aircraft.,SUPPORTS,['boeing'],SUPPORTS,True
Janet Leigh was an actress.,SUPPORTS,['janet leigh'],SUPPORTS,True
Manmohan Singh was only a prime minister before Jawaharlal Nehru.,REFUTES,['manmohan singh'],REFUTES,True
Birthday Song (2 Chainz song) was produced by Mike Dean.,SUPPORTS,['mike dean'],REFUTES,False
L.A. Reid has been the chairman of an American record label group that formed in 1998.,SUPPORTS,['l.a. reid'],SUPPORTS,True
Jiang Wen was born on January 5.,SUPPORTS,['jiang wen'],REFUTES,False
Bethany Hamilton's autobiography was adapted into a film in 2014.,REFUTES,['bethany hamilton'],SUPPORTS,False
Liverpool is a tourist destination because of The Beatles.,SUPPORTS,"['beatles', 'liverpool']",SUPPORTS,True
Bank of America has manual teller machines.,NOT ENOUGH INFO,['bank of america'],SUPPORTS,False
Eva Mendes is a person.,SUPPORTS,['eva mendes'],SUPPORTS,True
Zoe Saldana is a Leo.,REFUTES,['zoe saldana'],NOT ENOUGH INFO,False
Stanley Williams attended college in California.,NOT ENOUGH INFO,['stanley williams'],NOT ENOUGH INFO,True
Linkin Park toured North America in 2003.,NOT ENOUGH INFO,['linkin park'],SUPPORTS,False
Liam Neeson has been nominated for an award.,SUPPORTS,['liam neeson'],SUPPORTS,True
Jason Katims has made no contributions to Roswell.,REFUTES,"['roswell', 'jason katims']",REFUTES,True
AMGTV has television programming classified as sports.,NOT ENOUGH INFO,['amgtv'],SUPPORTS,False
Janelle Monáe is only signed to Bad Boys Records.,REFUTES,['janelle monáe'],REFUTES,True
Leslie Alexander is incapable of bond trading.,REFUTES,['leslie alexander'],NOT ENOUGH INFO,False
The New England Patriots owns the record for most Super Bowls won - five.,REFUTES,['the new england patriots'],REFUTES,True
Diwali is one of the most popular festivals of Christianity.,NOT ENOUGH INFO,['diwali'],REFUTES,False
Brown University's main campus is located in the oldest city in the world.,NOT ENOUGH INFO,"[""brown university's""]",REFUTES,False
