claim,subject,predicate,object,object_queried,property_id,confidence,route,mapping_source,kg_result,kg_retrieved,entity_exists,match_direction
Cadet Kelly was a Disney Channel Original.,Cadet Kelly,be,,,,low,semantic_search,none,pending_semantic,,,
Luis Fonsi uses a pseudonym.,Luis Fonsi,use,,,,low,semantic_search,none,pending_semantic,,,
Jeong Hyeong-don finished college in February 7.,,college,,,,low,semantic_search,none,pending_semantic,,,
Wentworth Miller made his screenwriting debut with the 2013 thriller film Stoker.,Wentworth Miller,make,,,,low,semantic_search,none,pending_semantic,,,
Thomas Jefferson founded the University of Virginia after retiring.,University of Virginia,founded_by,Thomas Jefferson,thomas jefferson,P112,medium,kg_retrieve,rule,not_found,,False,
Thomas Jefferson founded Washington College.,Washington College,founded_by,Thomas Jefferson,thomas jefferson,P112,medium,kg_retrieve,rule,not_found,,False,
Roar (song) is only featured on Katy Perry's third album.,Roar,feature,,,,low,semantic_search,none,pending_semantic,,,
Princess Mononoke has a violent setting surrounding political topics.,Mononoke,have,,,,low,semantic_search,none,pending_semantic,,,
Tom DeLonge spent his entire life pursuing his life-long dream of being a scuba diver.,Tom DeLonge,spend,,,,low,semantic_search,none,pending_semantic,,,
Bruce Shand was awarded a settlement.,Bruce Shand,award,settlement,settlement,P166,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
1979 was the year when Rob Sheridan was born.,1979,be,year,year,P39,medium,kg_retrieve,rule,not_found,,False,
Earl Scruggs was exclusively Canadian.,Earl Scruggs,be,Canada,canada,P27,high,kg_exact_match,rule,no_match,,True,
Harris Jayaraj is an Indian man.,Harris Jayaraj,be,man,man,P106,high,kg_exact_match,rule,no_match,,True,
Osamu Tezuka's mother only had to erase notes in his notebook.,Osamu Tezuka,have,,,,low,semantic_search,none,pending_semantic,,,
Julianne Moore is not an actress.,Julianne Moore,be,actress,actress,P106,high,kg_exact_match,rule,no_match,,True,
Creedence Clearwater Revival possessed John Fogerty as lead vocalist and guitarist.,Clearwater Revival,possess,,,,low,semantic_search,none,pending_semantic,,,
Birthday Song (2 Chainz song) was produced by Eminem.,Birthday Song,produced,,,,low,semantic_search,none,pending_semantic,,,
Oscar de la Hoya was named Fighter of the Year in the UFC.,Oscar de la Hoya,name,,,,low,semantic_search,none,pending_semantic,,,
Marco Polo was not a European.,Marco Polo,be,european,european,P106,high,kg_exact_match,rule,no_match,,True,
Janet Leigh was an actress.,Janet Leigh,be,actress,actress,P106,high,kg_exact_match,rule,no_match,,True,
Jack Falahee was born in 1989 and he is unknown.,Jack Falahee,born,1989,1989,P569,high,kg_exact_match,rule,no_match,,True,
Tijuana is part of at least one metropolitan area.,Tijuana,be,at least one metropolitan area,at least one metropolitan area,P361,high,kg_exact_match,rule,property_not_in_kg,,,
The Colosseum is in Beijing.,Colosseum,be,Beijing,beijing,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
"Diana, Princess of Wales's father lost the title of Earl Spencer.",Diana,lose,,,,low,semantic_search,none,pending_semantic,,,
Paramore is Canadian.,Paramore,be,,,,low,semantic_search,none,pending_semantic,,,
James Jones missed the playoffs once in 2007-2008.,James Jones,miss,,,,low,semantic_search,none,pending_semantic,,,
Tom Baker has narrated television series.,Tom Baker,narrate,,,,low,semantic_search,none,pending_semantic,,,
Danny Brown is a dancer.,Danny Brown,be,dancer,dancer,P106,high,kg_exact_match,rule,no_match,,True,
Lou Gehrig was a brother.,Lou Gehrig,be,brother,brother,P106,high,kg_exact_match,rule,no_match,,True,
Tata Motors is a constituent of the Boston Stock Exchange.,Tata Motors,be,,,,low,semantic_search,none,pending_semantic,,,
Ernest Medina was court martialed in Japan.,Ernest Medina,be,court martialed,court martialed,P39,medium,kg_retrieve,rule,not_found,,True,
Mel B released a work.,Mel B,released,Mel B,mel b,P264,high,kg_exact_match,semantic_assist,no_match,,True,
Bradley Fuller is a plumber.,Bradley Fuller,be,,,,low,semantic_search,none,pending_semantic,,,
Fidel Castro was a dictator in Cuba.,Fidel Castro,be,dictator,dictator,P39,medium,kg_retrieve,rule,retrieved,president of cuba | first secretary of the communist party of cuba | prime minister of cuba | secretary general of the non-aligned movement,,
Tijuana is on an island.,Tijuana,be,,,,low,semantic_search,none,pending_semantic,,,
David Spade was fired from being in Joe Dirt 2: Beautiful Loser.,David Spade,fire,,,,low,semantic_search,none,pending_semantic,,,
Stephen Hillenburg has always hated the ocean.,Stephen Hillenburg,hat,,,,low,semantic_search,none,pending_semantic,,,
Brad Wilk died before starting his career as a drummer.,Brad Wilk,died,,,P570,low,kg_retrieve,rule,not_found,,True,
Paramore is from America.,Paramore,be,,,,low,semantic_search,none,pending_semantic,,,
Jason Katims is credited as Roswell's producer.,Jason Katims,credit,,,,low,semantic_search,none,pending_semantic,,,
Bad Romance was profitable around the world.,Bad Romance,be,world,world,P39,medium,kg_retrieve,rule,not_found,,True,
Thomas Jefferson helped to organize a political party.,Thomas Jefferson,help,,,,low,semantic_search,none,pending_semantic,,,
Soul Food was released by a corporation.,Soul Food,released,,,,low,semantic_search,none,pending_semantic,,,
Mount Rushmore was built by Gutzon Borglum and his son Lincoln Borglum in the twentieth century.,Mount Rushmore,build,,,,low,semantic_search,none,pending_semantic,,,
Rio's 2013 sequel is called Rio 2.,Rio,call,,,,low,semantic_search,none,pending_semantic,,,
Al Jardine is a rhythm guitarist.,Al Jardine,be,guitarist,guitarist,P106,high,kg_exact_match,rule,no_match,,True,
The Godfather Part II featured an Academy Award for Best Actor nominated performance by Al Pacino.,Godfather Part II,feature,,,,low,semantic_search,none,pending_semantic,,,
The first inauguration of Bill Clinton made him President.,inauguration,make,,,,low,semantic_search,none,pending_semantic,,,
"Chris Kyle danced on February 2, 2013.",Chris Kyle,dance,,,,low,semantic_search,none,pending_semantic,,,
Tim McGraw had a supporting role in a film.,Tim McGraw,have,,,,low,semantic_search,none,pending_semantic,,,
PacSun sells products designed for humans aged 13 to 20 years old.,PacSun,sell,,,,low,semantic_search,none,pending_semantic,,,
Johnny Galecki only acted in NBC shows.,Johnny Galecki,act,,,,low,semantic_search,none,pending_semantic,,,
Murda Beatz is from North America.,Murda Beatz,be,North America,north america,P27,high,kg_exact_match,rule,no_match,,True,
Football is a sport that Terry Crews played professionally.,Football,be,professionally,professionally,P39,medium,kg_retrieve,rule,not_found,,False,
Mary-Kate Olsen and Ashley Olsen are Americans from California.,Ashley Olsen,be,americans,americans,P106,high,kg_exact_match,rule,no_match,,True,
Danielle Cormack is a singer from New Zealand.,Danielle Cormack,be,singer,singer,P106,high,kg_exact_match,rule,no_match,,True,
Don Hall is Canadian.,Don Hall,be,Canada,canada,P27,high,kg_exact_match,rule,no_match,,True,
Giada at Home was aired only on PBS.,Giada,air,,,,low,semantic_search,none,pending_semantic,,,
Bad Romance was one of the best-selling stocks of all time.,Bad Romance,be,one,one,P39,medium,kg_retrieve,rule,not_found,,True,
Paris (Paris Hilton album) incorporates elements of capitalism.,Paris,incorporate,,,,low,semantic_search,none,pending_semantic,,,
Pearl Jam is not a band.,Pearl Jam,be,band,band,P106,high,kg_exact_match,rule,no_match,,True,
The University of Illinois at Chicago is a college.,University of Illinois at,be,,,,low,semantic_search,none,pending_semantic,,,
Harold Macmillan served as the Prime Minister of France.,Harold Macmillan,served_as,prime minister,prime minister,P39,medium,kg_retrieve,rule,retrieved,prime minister of the united kingdom | chancellor of the exchequer | secretary of state for foreign and commonwealth affairs | secretary of state for defence | leader of the conservative party,,
"Diana, Princess of Wales's father inherited the title of Earl Spencer.",Diana,inherit,,,,low,semantic_search,none,pending_semantic,,,
Noel Fisher portrayed a fictional character.,Noel Fisher,portrayed,,,,low,semantic_search,none,pending_semantic,,,
Duane Chapman is Catholic.,Duane Chapman,be,catholic,catholic,P106,high,kg_exact_match,rule,no_match,,True,
John Deighton developed swelling of the legs.,John Deighton,developed_by,,,,low,semantic_search,none,pending_semantic,,,
James VI and I was a leader.,I,james vi,,,,low,semantic_search,none,pending_semantic,,,
Derek Hough starred in a King-Lear-inspired film.,King-Lear-inspired film,stars_in,Derek Hough,derek hough,P161,medium,kg_retrieve,rule,not_found,,False,
Drake Bell is a brother.,Drake Bell,be,brother,brother,P106,high,kg_exact_match,rule,no_match,,True,
The United Nations Charter was signed in Germany.,United Nations Charter,sign,,,,low,semantic_search,none,pending_semantic,,,
100 percent of the University of Mississippi's students come from Mississippi.,100 percent,come,,,,low,semantic_search,none,pending_semantic,,,
Don Bradman was an athlete.,Don Bradman,be,athlete,athlete,P106,high,kg_exact_match,rule,no_match,,True,
Tom Baker is from America.,Tom Baker,be,America,america,P27,high,kg_exact_match,rule,no_match,,True,
"In 2013, Gal Gadot was ranked as a high earning actress/model, the majority of her income coming from acting.",Gal Gadot,rank,,,,low,semantic_search,none,pending_semantic,,,
The World Trade Center was destroyed as the result of a series of attacks on 9/11/01.,World Trade Center,destroy,,,,low,semantic_search,none,pending_semantic,,,
Rupert Murdoch has worked since at least 1979 and has been criticized.,Rupert Murdoch,worked,,,,low,semantic_search,none,pending_semantic,,,
Despacito has a version which features a lengthier bridge.,Despacito,have,,,,low,semantic_search,none,pending_semantic,,,
"Keith Urban was only released on October 1, 1991.",Keith Urban,released,,,,low,semantic_search,none,pending_semantic,,,
Mickey Rourke appeared in The Expendables in 2005.,Mickey Rourke,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
The Mod Squad is an American television series.,Mod Squad,be,,,,low,semantic_search,none,pending_semantic,,,
Dave Gibbons's son's name is Chester.,son,be,chester,chester,P39,medium,kg_retrieve,rule,not_found,,False,
Bhagat Singh was Indian.,Bhagat Singh,be,India,india,P27,high,kg_exact_match,rule,no_match,,True,
Luis Fonsi was born in 1978.,Luis Fonsi,born,1978,1978,P569,high,kg_exact_match,rule,no_match,,True,
Bessie Smith has American citizenship.,Bessie Smith,have,,,,low,semantic_search,none,pending_semantic,,,
Awkward Black Girl is an American comedy web series on YouTube.,Awkward Black Girl,be,United States,united states,P27,high,kg_exact_match,rule,no_match,,True,
Soyuz was designed ergonomically.,Soyuz,design,,,,low,semantic_search,none,pending_semantic,,,
WGBH-TV is an American television station.,WGBH-TV,be,,,,low,semantic_search,none,pending_semantic,,,
The first inauguration of Bill Clinton was held on July 4th.,inauguration,hold,,,,low,semantic_search,none,pending_semantic,,,
Jens Stoltenberg only served one term as Prime Minister of Norway.,Jens Stoltenberg,served_as,prime minister,prime minister,P39,medium,kg_retrieve,rule,retrieved,secretary general of nato | general manager | party leader | prime minister of norway | minister of finance of norway,,
Scotty Moore was only a mechanical engineer.,Scotty Moore,be,engineer,engineer,P106,high,kg_exact_match,rule,no_match,,True,
Henry II of France died in a tournament held to celebrate the Treaty of Versailles.,Henry II,died,,,P570,low,kg_retrieve,rule,retrieved,1189-07-13,,
Blue Jasmine is about a rich Bostonian socialite who falls on hard times.,Blue Jasmine,be,,,,low,semantic_search,none,pending_semantic,,,
The Hindu Kush remains below sea level for its entire breadth.,Hindu Kush,remain,,,,low,semantic_search,none,pending_semantic,,,
Don Bradman's status as a regional icon was recognized after his retirement.,Don Bradman,recognize,,,,low,semantic_search,none,pending_semantic,,,
Stephen Hillenburg was raised on a farm.,Stephen Hillenburg,raise,,,,low,semantic_search,none,pending_semantic,,,
David Spade appeared in Tommy Boy.,David Spade,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
Gal Gadot was ranked as a top earning actress/model in Israel.,Gal Gadot,rank,,,,low,semantic_search,none,pending_semantic,,,
Michaela Watkins has a stand-up comedy show.,Michaela Watkins,have,,,,low,semantic_search,none,pending_semantic,,,
Youtube is ranked as the second most popular business in the world.,Youtube,rank,,,,low,semantic_search,none,pending_semantic,,,
Middle-earth was criticized by J. R. R. Tolkien.,Middle earth,criticize,,,,low,semantic_search,none,pending_semantic,,,
Eddie Guerrero had estates that were incorporated into his storylines.,Eddie Guerrero,have,,,,low,semantic_search,none,pending_semantic,,,
Wales is an island.,Wales,be,,,,low,semantic_search,none,pending_semantic,,,
From 2005 to 2013 Jens Stoltenberg was Prime Minister of Norway.,,be,prime minister,prime minister,P39,medium,semantic_search,rule,pending_semantic,,,
Kellyanne Conway has been embroiled in a series of crimes.,Kellyanne Conway,embroil,,,,low,semantic_search,none,pending_semantic,,,
Dave Gibbons was born on April 14.,Dave Gibbons,born,April 14,april 14,P569,high,kg_exact_match,rule,no_match,,True,
San Diego Comic-Con was founded in 1990.,San Diego Comic-Con,founded_by,,,,low,semantic_search,none,pending_semantic,,,
Stephen Hillenburg  developed an interest in art and the ocean.,Stephen Hillenburg,developed_by,,,,low,semantic_search,none,pending_semantic,,,
Janelle Monáe is an entertainer.,Janelle Monáe,be,entertainer,entertainer,P106,high,kg_exact_match,rule,no_match,,True,
Bessie Smith died.,Bessie Smith,died,,,P570,low,kg_retrieve,rule,retrieved,1937-09-26,,
Marjorie Gross was a film writer.,Marjorie Gross,be,writer,writer,P106,high,kg_exact_match,rule,match,,,
Anushka Sharma won a Filmfare Award for Best Supporting Actress.,Anushka Sharma,won,Filmfare Award for Best Supporting Actress,filmfare award for best supporting actress,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Keith Urban is the second studio album by Keith Urban and was released in 1999.,Keith Urban,be,urban,urban,P39,medium,kg_retrieve,rule,not_found,,True,
Gal Gadot was ranked as a high earning actress/model in Israel.,Gal Gadot,rank,,,,low,semantic_search,none,pending_semantic,,,
Terry Crews was a chef.,Terry Crews,be,chef,chef,P106,high,kg_exact_match,rule,no_match,,True,
Jamie Murray is a winner.,Jamie Murray,be,winner,winner,P106,high,kg_exact_match,rule,no_match,,True,
Tilda Swinton is not an artist.,Tilda Swinton,be,artist,artist,P106,high,kg_exact_match,rule,no_match,,True,
Brad Wilk was a musician for Greta.,Brad Wilk,be,musician,musician,P106,high,kg_exact_match,rule,no_match,,True,
Mel B died before releasing a song on Virgin Records.,Mel B,died,,,P570,low,kg_retrieve,rule,retrieved,1989-07-10,,
Al Jardine provided the lead vocal part on a song penned by C. E. Quick.,Al Jardine,provide,,,,low,semantic_search,none,pending_semantic,,,
Tiber Oil Field is operated by BP.,Tiber Oil Field,operate,,,,low,semantic_search,none,pending_semantic,,,
Valencia is in the country of Spain.,Valencia,be,,,,low,semantic_search,none,pending_semantic,,,
Simón Bolívar was strictly Canadian.,Simón Bolívar,be,Canada,canada,P27,high,kg_exact_match,rule,no_match,,True,
"Yara Shahidi was born on February 10, 2000.",Yara Shahidi,born,"February 10, 2000",2000-02-10,P569,high,kg_exact_match,rule,match,,,
Christian Gottlob Neefe was born in the 1700's.,Christian Gottlob Neefe,born,1700,1700,P569,high,kg_exact_match,rule,no_match,,True,
"In 1953, Lockheed Martin's current President was born.",President,born,1953,1953,P569,high,kg_exact_match,rule,no_match,,False,
Eddie Guerrero disliked alcoholism.,Eddie Guerrero,dislike,,,,low,semantic_search,none,pending_semantic,,,
Roswell is exclusively a mystery TV series.,Roswell,be,,,,low,semantic_search,none,pending_semantic,,,
Paul Nicholls played Superman.,Paul Nicholls,played_in,,,,low,semantic_search,none,pending_semantic,,,
Brian Michael Bendis has worked in Panama.,Brian Michael Bendis,worked,,,,low,semantic_search,none,pending_semantic,,,
Bullitt is a thriller film directed by Peter Yates.,Bullitt,be,yates,yates,P39,medium,kg_retrieve,rule,not_found,,False,
Mick Thomson was born in Ohio.,Mick Thomson,born,Ohio,ohio,P19,high,kg_exact_match,rule,no_match,,True,
"Baz Luhrmann's film Australia only stars an American actor, singer, and producer.",Baz Luhrmann's,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Nestor Carbonell played baseball in The Dark Knight and The Dark Knight Rises.,Dark Knight,played_in,Nestor Carbonell,nestor carbonell,P161,medium,kg_retrieve,rule,not_found,,False,
John Gatins starred in Dreamer (2005 film).,,john gatins,,,,low,semantic_search,none,pending_semantic,,,
Angela Bassett received a bachelor of arts degree from Harvard University.,Angela Bassett,received,bachelor of arts degree,bachelor of arts degree,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Johnny Galecki has appeared in just one American sitcom.,Johnny Galecki,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
Jenna Jameson has been photographed.,Jenna Jameson,photograph,,,,low,semantic_search,none,pending_semantic,,,
Murda Beatz's real middle names are Shane Lindstrom.,Murda Beatz,be,shane lindstrom,shane lindstrom,P39,medium,kg_retrieve,rule,not_found,,True,
A&E is a television channel on both cable and satellite.,A&E,be,,,,low,semantic_search,none,pending_semantic,,,
Sheryl Lee presented an award to an American romantic comedy-drama film.,Sheryl Lee,present,,,,low,semantic_search,none,pending_semantic,,,
Aarhus is 187 km northwest of Venice.,Aarhus,be,,,,low,semantic_search,none,pending_semantic,,,
XHamster produces Survivor.,XHamster,produced,,,,low,semantic_search,none,pending_semantic,,,
Sandra Bullock appeared on Game of Thrones.,Sandra Bullock,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
"Bhagat Singh was from New Delhi, India.",Bhagat Singh,be,New Delhi,new delhi,P27,high,kg_exact_match,rule,no_match,,True,
The Armenian Genocide occurred during the Reconstruction.,Armenian Genocide,occur,,,,low,semantic_search,none,pending_semantic,,,
Oscar de la Hoya was named Fighter of the Year in 1999.,Oscar de la Hoya,name,,,,low,semantic_search,none,pending_semantic,,,
"Tilda Swinton was born on November 5, 1860.",Tilda Swinton,born,"November 5, 1860",1860-11-05,P569,high,kg_exact_match,rule,no_match,,True,
Al Jardine is a brother.,Al Jardine,be,brother,brother,P106,high,kg_exact_match,rule,no_match,,True,
Paul Nicholls played Sam Casey.,Paul Nicholls,played_in,,,,low,semantic_search,none,pending_semantic,,,
Wentworth Miller created his screenwriting debut with the thriller film Stoker.,Wentworth Miller,create,,,,low,semantic_search,none,pending_semantic,,,
Matthias Corvinus had one of the largest collections of books in Europe during the Enlightenment.,Matthias Corvinus,have,,,,low,semantic_search,none,pending_semantic,,,
Roswell was developed by Jason Katims's daughter.,Roswell,developed_by,,,,low,semantic_search,none,pending_semantic,,,
Saturn Corporation was established in April.,Saturn Corporation,founded_by,,,,low,semantic_search,none,pending_semantic,,,
"Harold Macmillan died on Monday December 29, 1986.",Harold Macmillan,died,"Monday December 29, 1986",1986-12-29,P570,high,kg_exact_match,rule,match,,,
Renato Balestra came from a family of mechanics.,Renato Balestra,come,,,,low,semantic_search,none,pending_semantic,,,
"Weekly Idol is hosted by Jeong Hyeong-don, a comedian and actor.",Jeong Hyeong-don,appositive,,,P106,high,kg_exact_match,rule,skip_missing_fields,,,
Julianne Moore was in the film As the World Turns.,Julianne Moore,be,,,,low,semantic_search,none,pending_semantic,,,
Numb was banned from all Linkin Park DLC's for video games.,Numb,ban,,,,low,semantic_search,none,pending_semantic,,,
Wales' population rapidly emigrated.,Wales,emigrate,,,,low,semantic_search,none,pending_semantic,,,
Anne Rice was born in the United States of America.,Anne Rice,born,United States of America,united states of america,P19,high,kg_exact_match,rule,no_match,,True,
Anne Rice lived in New Jersey.,Anne Rice,live,,,,low,semantic_search,none,pending_semantic,,,
Henry VIII (TV serial) stars only an actor who was born in 1976.,Henry VIII,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Roswell was directed by Jason Katims.,Roswell,directed_by,,,,low,semantic_search,none,pending_semantic,,,
Danger UXB is from 1980.,UXB,be,,,,low,semantic_search,none,pending_semantic,,,
"Aaron Burr killed Alexander Hamilton in Seaside Heights, New Jersey.",Aaron Burr,kill,,,,low,semantic_search,none,pending_semantic,,,
Michael B. Jordan was born.,Michael B. Jordan,born,,,P19,low,kg_retrieve,rule,retrieved,santa ana,,
Duane Chapman is not American.,Duane Chapman,be,United States,united states,P27,high,kg_exact_match,rule,match,,,
Yale University's alumni includes five U.S. Presidents.,Yale University's,include,,,,low,semantic_search,none,pending_semantic,,,
Creedence Clearwater Revival had Stu Cook on trumpet.,Creedence Clearwater Revival,have,,,,low,semantic_search,none,pending_semantic,,,
Game of Thrones (season 7) will introduce several new story-line.,Game,introduce,,,,low,semantic_search,none,pending_semantic,,,
Al Jardine is a flutist.,Al Jardine,be,flutist,flutist,P106,high,kg_exact_match,rule,no_match,,True,
Wentworth Miller made his teaching debut.,Wentworth Miller,make,,,,low,semantic_search,none,pending_semantic,,,
Angela Bassett received a master of fine arts degree.,Angela Bassett,received,master of fine arts degree,master of fine arts degree,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Connie Nielsen played the role of Meredith Kane in Boss.,Connie Nielsen,played_in,,,,low,semantic_search,none,pending_semantic,,,
Carlos Santana was ignored by critics in the nineties.,Carlos Santana,ignore,,,,low,semantic_search,none,pending_semantic,,,
Harris Jayaraj was born in January of 1975.,Harris Jayaraj,born,January of 1975,1975-01,P569,high,kg_exact_match,rule,no_match,,True,
Fidel Castro transferred his responsibilities to his brother.,Fidel Castro,transfer,,,,low,semantic_search,none,pending_semantic,,,
Eddie Guerrero experienced alcoholism.,Eddie Guerrero,experience,,,,low,semantic_search,none,pending_semantic,,,
Most of Ripon College's student body live on dead bodies.,Most,live,,,,low,semantic_search,none,pending_semantic,,,
The Pelican Brief is a 1993 American legal political thriller starring Bruce Willis.,Pelican Brief,be,willis,willis,P39,medium,kg_retrieve,rule,not_found,,False,
Johanna Braddy starred in a game show tv series in 2015.,2015,stars_in,Johanna Braddy,johanna braddy,P161,medium,kg_retrieve,rule,not_found,,False,
The Mod Squad is a Peruvian television series.,Mod Squad,be,,,,low,semantic_search,none,pending_semantic,,,
Noah Cyrus is the youngest sister of Miley Cyrus.,Noah Cyrus,be,youngest sister,youngest sister,P39,medium,kg_retrieve,rule,not_found,,True,
Shawn Carlson was born in 1920.,Shawn Carlson,born,1920,1920,P569,high,kg_exact_match,rule,no_match,,True,
Tilda Swinton is a dancer.,Tilda Swinton,be,dancer,dancer,P106,high,kg_exact_match,rule,no_match,,True,
Drake Bell attended A Reminder.,Drake Bell,attend,,,,low,semantic_search,none,pending_semantic,,,
Bessie Smith sang the blues.,Bessie Smith,sing,,,,low,semantic_search,none,pending_semantic,,,
Colin Kaepernick is a starter for the San Francisco Giants.,Colin Kaepernick,be,starter,starter,P39,medium,kg_retrieve,rule,not_found,,True,
Creedence Clearwater Revival was informally abbreviated to BBC.,Clearwater Revival,abbreviate,BBC,bbc,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Danny Brown is from the U.S.,Danny Brown,be,U.S,u.s,P27,high,kg_exact_match,rule,no_match,,True,
The religion of Mike Huckabee is Southern Baptism.,religion,be,southern baptism,southern baptism,P39,medium,kg_retrieve,rule,not_found,,False,
Tijuana is located in Brazil.,Tijuana,locate,Brazil,brazil,P159,high,kg_exact_match,rule,no_match,,True,
PacSun sells products designed for young adults.,PacSun,sell,,,,low,semantic_search,none,pending_semantic,,,
Janelle Monáe was born in the United States.,Janelle Monáe,born,United States,united states,P19,high,kg_exact_match,rule,no_match,,True,
Anushka Sharma is an singer.,Anushka Sharma,be,singer,singer,P106,high,kg_exact_match,rule,no_match,,True,
Caroline Kennedy is a Catholic.,Caroline Kennedy,be,catholic,catholic,P106,high,kg_exact_match,rule,no_match,,True,
Richard Dawkins has yet to be awarded any academic awards.,Richard Dawkins,have,,,,low,semantic_search,none,pending_semantic,,,
Henry II of France died in a river.,Henry II,died,,,P570,low,kg_retrieve,rule,retrieved,1189-07-13,,
Osamu Tezuka's mother had to erase pages in his notebook in 2000.,Osamu Tezuka,have,,,,low,semantic_search,none,pending_semantic,,,
Christa McAuliffe refused to ever work as a teacher.,Christa McAuliffe,refuse,,,,low,semantic_search,none,pending_semantic,,,
Comedy is something performed by Fred Armisen.,Comedy,be,armisen,armisen,P39,medium,kg_retrieve,rule,not_found,,False,
Duane Chapman is not a bounty hunter.,Duane Chapman,be,bounty hunter,bounty hunter,P106,high,kg_exact_match,rule,match,,,
The Mighty Ducks was produced by a subsidiary of Walt Disney Studios.,Mighty Ducks,produced,,,,low,semantic_search,none,pending_semantic,,,
Leonard Nimoy was in Civilization IV.,Leonard Nimoy,be,Civilization IV,civilization iv,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Harvard University is the first University in the U.S.,Harvard University,be,,,,low,semantic_search,none,pending_semantic,,,
Oscar Nomination was awarded to Humphrey Bogart.,Oscar Nomination,award,,,,low,semantic_search,none,pending_semantic,,,
"Diana, Princess of Wales divorced on August 28, 1996 after 4 years of marriage.",,diana,,,,low,semantic_search,none,pending_semantic,,,
AMGTV does not have entertainment television programming.,AMGTV,have,,,,low,semantic_search,none,pending_semantic,,,
Mary-Kate Olsen and Ashley Olsen are incapable of being fashion designers.,Ashley Olsen,be,incapable,incapable,P39,medium,kg_retrieve,rule,not_found,,True,
Rick Yune has only ever been in cinematic film.,Rick Yune,be,,,,low,semantic_search,none,pending_semantic,,,
Kelly Preston was in multiple job positions.,Kelly Preston,be,,,,low,semantic_search,none,pending_semantic,,,
Rio's sequel was released on a date during the 21st century.,Rio,released,,,,low,semantic_search,none,pending_semantic,,,
Simón Bolívar died in 1830.,Simón Bolívar,died,1830,1830,P570,high,kg_exact_match,rule,no_match,,True,
Janet Leigh was incapable of singing.,Janet Leigh,be,incapable,incapable,P39,medium,kg_retrieve,rule,not_found,,True,
Harris Jayaraj is a film composer.,Harris Jayaraj,be,composer,composer,P106,high,kg_exact_match,rule,match,,,
Randy Savage is a basketball player.,Randy Savage,be,basketball player,basketball player,P106,high,kg_exact_match,rule,no_match,,True,
Jens Stoltenberg died in 1998.,Jens Stoltenberg,died,1998,1998,P570,high,kg_exact_match,rule,no_match,,True,
Humphrey Bogart does acting.,Humphrey Bogart,act,,,,low,semantic_search,none,pending_semantic,,,
"Mary-Kate Olsen's and Ashley Olsen's dog was born on June 13th, 1986.",Ashley Olsen,born,"June 13th, 1986",1986-06-13,P569,high,kg_exact_match,rule,match,,,
Brazzers is a pornographic production company started in 2004.,Brazzers,be,company,company,P106,high,kg_exact_match,rule,no_match,,True,
The current President of Lockheed Martin is Lee Iacocca.,President,be,lee iacocca,lee iacocca,P39,medium,kg_retrieve,rule,not_found,,False,
Larry Wilmore acts in Twilight.,Larry Wilmore,act,,,,low,semantic_search,none,pending_semantic,,,
Youtube has been ranked by a company.,Youtube,rank,,,,low,semantic_search,none,pending_semantic,,,
Penélope Cruz has modeled for clothing company Ralph Lauren.,Penélope Cruz,model,,,,low,semantic_search,none,pending_semantic,,,
Tylenol is a brand of medical solutions.,Tylenol,be,,,,low,semantic_search,none,pending_semantic,,,
WGBH-TV is located in Dorchester.,WGBH-TV,locate,Dorchester,dorchester,P159,high,kg_exact_match,rule,no_match,,True,
Don Bradman was a Test player and had a long retirement.,Don Bradman,be,test player,test player,P106,high,kg_exact_match,rule,no_match,,True,
Carlos Santana was born in the forties.,Carlos Santana,born,,,P19,low,kg_retrieve,rule,not_found,,True,
Ernest Medina was tried by a court-martial in 1971.,Ernest Medina,try,,,,low,semantic_search,none,pending_semantic,,,
Ann Richards was the head of the executive branch of Texas's government.,Ann Richards,be,executive,executive,P106,high,kg_exact_match,rule,no_match,,True,
The United Nations Charter was drafted in the 20th Century.,United Nations Charter,draft,,,,low,semantic_search,none,pending_semantic,,,
Dave Gibbons was born in April.,Dave Gibbons,born,April,april,P569,high,kg_exact_match,rule,no_match,,True,
Aarhus is the second-largest city in Denmark.,Aarhus,be,,,,low,semantic_search,none,pending_semantic,,,
"Murda Beatz was born on February 21, 1994.",Murda Beatz,born,"February 21, 1994",1994-02-21,P569,high,kg_exact_match,rule,no_match,,True,
PacSun sells accessories.,PacSun,sell,,,,low,semantic_search,none,pending_semantic,,,
Ripon College is in hell.,Ripon College,be,,,,low,semantic_search,none,pending_semantic,,,
Saturn Corporation is also known as a balloon.,Saturn Corporation,know,,,,low,semantic_search,none,pending_semantic,,,
Penélope Cruz refused to model for L'Oréal.,Penélope Cruz,refuse,,,,low,semantic_search,none,pending_semantic,,,
