claim,label,matched,llm_label,correct,llm_verifier_label,has_evidence
"Bruce Shand died on Sunday, June 11th, 2006.",NOT_ENOUGH_INFO,['bruce shand'],SUPPORTS,False,SUPPORTS,True
Kareem Abdul-Jabbar is ranked 3rd all-time in free throws.,NOT_ENOUGH_INFO,['kareem abdul-jabbar'],REFUTES,False,NOT_ENOUGH_INFO,True
Richard Dawson is dead.,SUPPORTS,['richard dawson'],SUPPORTS,True,SUPPORTS,True
Nestor Carbonell only starred in HBO series.,REFUTES,"['hbo', 'nestor carbonell']",REFUTES,True,NOT_ENOUGH_INFO,True
Yara Shahidi is only German.,NOT_ENOUGH_INFO,['yara shahidi'],REFUTES,False,REFUTES,True
There is a French-British actress named Emma Watson.,SUPPORTS,['emma watson'],REFUTES,False,NOT_ENOUGH_INFO,False
Kevin Bacon has yet to be in a film.,REFUTES,['kevin bacon'],REFUTES,True,REFUTES,True
Rupert Murdoch has worked since at least 1354.,REFUTES,['rupert murdoch'],REFUTES,True,REFUTES,True
James Brolin appeared in several 1990s sitcoms.,NOT_ENOUGH_INFO,['james brolin'],SUPPORTS,False,NOT_ENOUGH_INFO,True
The World Trade Center was destroyed as the result of a series of TV shows.,NOT_ENOUGH_INFO,['the world trade center'],REFUTES,False,NOT_ENOUGH_INFO,False
Caroline Kennedy is a lawyer.,NOT_ENOUGH_INFO,['caroline kennedy'],SUPPORTS,False,SUPPORTS,True
Connie Nielsen is a film actress.,SUPPORTS,['connie nielsen'],SUPPORTS,True,REFUTES,True
The New York Knicks dissolved the National Basketball Association (NBA).,NOT_ENOUGH_INFO,"['nba', 'the new york knicks']",REFUTES,False,NOT_ENOUGH_INFO,False
Amancio Ortega is a business tycoon.,SUPPORTS,['amancio ortega'],SUPPORTS,True,SUPPORTS,True
Manchester United has had two coaches.,NOT_ENOUGH_INFO,['manchester'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,False
The Mormon population has been growing rapidly due to high birth and conversion rates.,SUPPORTS,['mormon'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Scandinavia does not include the remote Norwegian people of Svalbard and Jan Mayen.,NOT_ENOUGH_INFO,"['jan mayen', 'svalbard']",REFUTES,False,NOT_ENOUGH_INFO,False
Larry Wilmore is only a director.,NOT_ENOUGH_INFO,['larry wilmore'],REFUTES,False,REFUTES,True
WGBH-TV is an American television station.,SUPPORTS,['wgbh-tv'],SUPPORTS,True,SUPPORTS,True
Sancho Panza is a character who appears exclusively in Harry Potter and the Chamber of Secrets.,REFUTES,['harry potter'],REFUTES,True,REFUTES,True
The ABC islands are part of the Arctic Ocean.,REFUTES,['abc'],REFUTES,True,REFUTES,True
Kendall Jenner is a driver.,REFUTES,['kendall jenner'],NOT_ENOUGH_INFO,False,SUPPORTS,True
Jack Dylan Grazer is a child of two people.,SUPPORTS,['jack dylan grazer'],SUPPORTS,True,REFUTES,True
"Janelle Monáe's full name is Janelle Monáe Robinson, given to her by her parents.",NOT_ENOUGH_INFO,['janelle monáe'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Miranda Otto has yet to begin her acting career.,REFUTES,['miranda otto'],REFUTES,True,REFUTES,True
Henry II of France has three sisters.,NOT_ENOUGH_INFO,['henry ii'],NOT_ENOUGH_INFO,True,REFUTES,True
Jed Whedon is a citizen.,SUPPORTS,['jed whedon'],NOT_ENOUGH_INFO,False,SUPPORTS,True
Tinker Tailor Soldier Spy only stars Adam Sandler.,REFUTES,['adam sandler'],REFUTES,True,NOT_ENOUGH_INFO,False
Diwali is a award ceremony.,NOT_ENOUGH_INFO,['diwali'],REFUTES,False,REFUTES,True
Henry II of France died in a tournament held to celebrate the autumn.,REFUTES,['henry ii'],REFUTES,True,NOT_ENOUGH_INFO,False
Jamie Murray is a Davis Cup maker.,NOT_ENOUGH_INFO,['jamie murray'],REFUTES,False,REFUTES,True
Trevor Griffiths is only a novelist.,REFUTES,['trevor griffiths'],REFUTES,True,REFUTES,True
Nina Jacobson was president of a General Motors subsidiary.,NOT_ENOUGH_INFO,['nina jacobson'],REFUTES,False,NOT_ENOUGH_INFO,True
Earl Scruggs was a musician who played banjo.,SUPPORTS,['earl scruggs'],SUPPORTS,True,SUPPORTS,True
AMGTV does not have drama television programming.,REFUTES,['amgtv'],REFUTES,True,NOT_ENOUGH_INFO,True
Margaret Thatcher was a person.,SUPPORTS,['margaret thatcher'],SUPPORTS,True,SUPPORTS,True
Multiple shows on Cartoon Network employed John DiMaggio.,SUPPORTS,['john dimaggio'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Bret Easton Ellis wrote the screenplay for a 2013 film and he was criticized for this.,NOT_ENOUGH_INFO,['bret easton ellis'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Kyle Maclachlan has been nominated for an Emmy award because of a television series called Twin Peaks.,SUPPORTS,['kyle maclachlan'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Recovery is Eminem's first album.,REFUTES,['eminem'],REFUTES,True,NOT_ENOUGH_INFO,False
Ted Cruz has served as the senior Unites States Senator from Texas since 2014.,REFUTES,['ted cruz'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Liverpool is controlled by Lancashire.,NOT_ENOUGH_INFO,['liverpool'],REFUTES,False,REFUTES,True
The Vandals migrated around Europe.,SUPPORTS,['vandals'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Weekly Idol is hosted by Michio Kaku.,REFUTES,['idol'],REFUTES,True,REFUTES,True
Luis Fonsi was born in Hawaii.,REFUTES,['luis fonsi'],REFUTES,True,REFUTES,True
Dave Gibbons is an Indian writer.,REFUTES,['dave gibbons'],REFUTES,True,REFUTES,True
John Dolmayan is a bear.,REFUTES,['john dolmayan'],REFUTES,True,REFUTES,True
Bethany Hamilton engaged in water sports.,SUPPORTS,['bethany hamilton'],SUPPORTS,True,SUPPORTS,True
ASAP Rocky is only a music video actor.,REFUTES,['asap rocky'],REFUTES,True,NOT_ENOUGH_INFO,False
"Bank of America has 4,600 retail financial employees.",NOT_ENOUGH_INFO,['bank of america'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
Taarak Mehta Ka Ooltah Chashmah is not produced by Neela Tele Films Private Limited.,REFUTES,['taarak mehta'],REFUTES,True,NOT_ENOUGH_INFO,False
Luis Fonsi uses a pseudonym.,SUPPORTS,['luis fonsi'],REFUTES,False,NOT_ENOUGH_INFO,True
Alexandra Daddario identifies as an American.,NOT_ENOUGH_INFO,['alexandra daddario'],SUPPORTS,False,SUPPORTS,True
Danger UXB has an all-female cast.,REFUTES,['uxb'],REFUTES,True,NOT_ENOUGH_INFO,False
Spider-Man 2 was written by Alvin Sargent in 2003.,REFUTES,['alvin'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Robert Palmer (writer) is involved in media.,SUPPORTS,['robert palmer'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Anushka Sharma is not an actress.,REFUTES,['anushka sharma'],REFUTES,True,REFUTES,True
"Stephen Hillenburg was fascinated with the ocean as a child, leading him to create Spongebob Squarepants.",SUPPORTS,"['spongebob squarepants', 'stephen hillenburg']",SUPPORTS,True,NOT_ENOUGH_INFO,True
Mick Thomson was born in Iowa.,SUPPORTS,['mick thomson'],SUPPORTS,True,SUPPORTS,True
Nina Jacobson's birthday is in 1965.,NOT_ENOUGH_INFO,['nina jacobson'],NOT_ENOUGH_INFO,True,SUPPORTS,True
Tijuana is on the Baja California Peninsula.,SUPPORTS,['tijuana'],SUPPORTS,True,NOT_ENOUGH_INFO,True
The White House Press Secretary is a Kremlin official.,REFUTES,['the white house'],REFUTES,True,REFUTES,True
Eva Mendes has only ever been a singer.,REFUTES,['eva mendes'],REFUTES,True,REFUTES,True
Mary-Kate Olsen and Ashley Olsen are designers.,SUPPORTS,"['mary-kate olsen', 'ashley olsen']",SUPPORTS,True,NOT_ENOUGH_INFO,True
Michaela Watkins is British.,NOT_ENOUGH_INFO,['michaela watkins'],REFUTES,False,SUPPORTS,True
Simon Cowell was not a part of a reality show.,REFUTES,['simon cowell'],REFUTES,True,REFUTES,True
Manmohan Singh was the first Sikh in North Carolina.,NOT_ENOUGH_INFO,['manmohan singh'],REFUTES,False,REFUTES,True
Rick Yune was on a series that cancelled.,SUPPORTS,['rick yune'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,True
"Mel B partied with Missy ""Misdemeanor"" Elliott.",NOT_ENOUGH_INFO,"['mel', 'mel b']",NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,False
The University of Illinois at Chicago is state-funded.,SUPPORTS,['the university of illinois at'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Roswell was by Jason Katims.,SUPPORTS,"['roswell', 'jason katims']",REFUTES,False,REFUTES,True
Mandy Moore is a musician.,SUPPORTS,['mandy moore'],SUPPORTS,True,SUPPORTS,True
"On August 19, 1945, Ian Gillan was born.",SUPPORTS,['ian gillan'],REFUTES,False,SUPPORTS,True
"Lyon had a population of over 500,000 in 2014.",SUPPORTS,['lyon'],SUPPORTS,True,NOT_ENOUGH_INFO,True
The Bengal tiger is from a region.,SUPPORTS,['bengal'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,False
Woodrow Wilson worked in Canada.,NOT_ENOUGH_INFO,['woodrow wilson'],NOT_ENOUGH_INFO,True,REFUTES,True
"Scotty Moore was born on May 27, 1931.",REFUTES,['scotty moore'],SUPPORTS,False,SUPPORTS,True
Zoe Saldana is a citizen of somewhere.,NOT_ENOUGH_INFO,['zoe saldana'],NOT_ENOUGH_INFO,True,SUPPORTS,True
Samsung entered the drilling industry in the 1970's.,NOT_ENOUGH_INFO,['samsung'],REFUTES,False,REFUTES,True
Terry Crews played on the boat.,NOT_ENOUGH_INFO,['terry crews'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
Sonny & Cher began in the mid-1960's.,NOT_ENOUGH_INFO,['cher'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Don Bradman was a Test coach.,NOT_ENOUGH_INFO,['don bradman'],REFUTES,False,REFUTES,True
James VI and I was Spanish.,REFUTES,['james vi'],REFUTES,True,REFUTES,True
Colin Kaepernick is quarterback for the 49ers.,SUPPORTS,['colin kaepernick'],REFUTES,False,NOT_ENOUGH_INFO,True
Stephen Hillenburg directed The SpongeBob SquarePants Movie.,SUPPORTS,"['spongebob squarepants', 'stephen hillenburg']",SUPPORTS,True,SUPPORTS,True
Jenny McCarthy started her career in 1993.,SUPPORTS,['jenny mccarthy'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Henry II of France died from a stab wound in a jousting tournament.,NOT_ENOUGH_INFO,['henry ii'],REFUTES,False,NOT_ENOUGH_INFO,False
Charles de Gaulle was a leader in the French Resistance.,SUPPORTS,['charles de gaulle'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Goldie Hawn received a Grammy nomination.,SUPPORTS,['grammy'],SUPPORTS,True,SUPPORTS,True
Alexandra Daddario is from Indiana.,NOT_ENOUGH_INFO,['alexandra daddario'],REFUTES,False,REFUTES,True
Nuuk is the seat of government of Germany.,REFUTES,['nuuk'],REFUTES,True,REFUTES,True
International students come to the University of Mississippi for 4 years.,NOT_ENOUGH_INFO,['the university of mississippi'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,False
Harold Macmillan served as the Prime Minister of the United Kingdom.,SUPPORTS,['harold macmillan'],SUPPORTS,True,SUPPORTS,True
The Catcher in the Rye is a young adult novel.,NOT_ENOUGH_INFO,['rye'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Stanley Williams graduated from college in 2005.,REFUTES,['stanley williams'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,True
The Eighth Doctor has only ever aired on FX.,REFUTES,['fx'],REFUTES,True,NOT_ENOUGH_INFO,False
The United Nations Charter is the foundational declaration of war of the United Nations.,NOT_ENOUGH_INFO,['the united nations'],REFUTES,False,NOT_ENOUGH_INFO,False
"Chris Kyle did not die on February 2, 2013.",REFUTES,['chris kyle'],REFUTES,True,REFUTES,True
"Mary-Kate Olsen's and Ashley Olsen's dog was born on June 13th, 1986.",NOT_ENOUGH_INFO,"['mary-kate olsen', 'ashley olsen']",NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
Shannon Lee is a German.,NOT_ENOUGH_INFO,['shannon lee'],REFUTES,False,SUPPORTS,True
Mud has Tom Cruise in its cast.,NOT_ENOUGH_INFO,['tom cruise'],REFUTES,False,NOT_ENOUGH_INFO,False
Henry III of France died without a successor.,REFUTES,['henry iii'],REFUTES,True,NOT_ENOUGH_INFO,False
Ann Richards was the 45th Governor of Texas.,SUPPORTS,['ann richards'],REFUTES,False,NOT_ENOUGH_INFO,True
Gaius Julius Caesar was born in 130 BC in Rome.,NOT_ENOUGH_INFO,"['julius caesar', 'gaius julius caesar', 'bc']",REFUTES,False,REFUTES,True
Michael Hutchence died in Boston.,REFUTES,['michael hutchence'],REFUTES,True,SUPPORTS,True
Bongwater was based on a Pulitzer Prize-winning book.,NOT_ENOUGH_INFO,['bongwater'],REFUTES,False,NOT_ENOUGH_INFO,True
"Tom DeLonge formed a band in San Bernardino, California.",NOT_ENOUGH_INFO,['tom delonge'],SUPPORTS,False,NOT_ENOUGH_INFO,True
The World Trade Center featured landmark twin boys.,NOT_ENOUGH_INFO,['the world trade center'],REFUTES,False,NOT_ENOUGH_INFO,False
Yara Shahidi is 32 years old.,REFUTES,['yara shahidi'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,True
Jed Whedon is the son of someone born in June.,REFUTES,['jed whedon'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,True
ASAP Rocky has directed videos for his own music.,SUPPORTS,['asap rocky'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Issa Rae stars in The Galactic Empire.,NOT_ENOUGH_INFO,['issa rae'],REFUTES,False,NOT_ENOUGH_INFO,False
"Ted Cruz was born on December 22nd, 1970 in a log cabin.",NOT_ENOUGH_INFO,['ted cruz'],REFUTES,False,NOT_ENOUGH_INFO,True
Georges Gilles de la Tourette failed to describe symptoms in nine patients.,REFUTES,['georges gilles de la tourette'],REFUTES,True,NOT_ENOUGH_INFO,True
Elizabeth I was the son of Anne Boleyn.,REFUTES,['anne boleyn'],REFUTES,True,REFUTES,True
Trevor Griffiths is English and Scottish.,NOT_ENOUGH_INFO,['trevor griffiths'],SUPPORTS,False,REFUTES,True
Ian Gillan is a horse.,NOT_ENOUGH_INFO,['ian gillan'],REFUTES,False,REFUTES,True
Island Records was founded in Boston only.,NOT_ENOUGH_INFO,['island records'],REFUTES,False,REFUTES,True
Logie Awards had over 2017 attendees.,NOT_ENOUGH_INFO,['logie awards'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
John Perry Barlow is still a member of the Grateful Dead.,REFUTES,['the grateful dead'],REFUTES,True,REFUTES,True
Blade Runner 2049 is a prequel.,REFUTES,['blade runner'],REFUTES,True,SUPPORTS,True
Damon Albarn's debut album was co-recorded by Richard Russell.,NOT_ENOUGH_INFO,['damon albarn'],REFUTES,False,NOT_ENOUGH_INFO,True
Mickey Rourke appeared in a movie.,SUPPORTS,['mickey rourke'],SUPPORTS,True,SUPPORTS,True
"Alice Cooper is a dancer, author, and mime.",NOT_ENOUGH_INFO,['alice cooper'],REFUTES,False,REFUTES,True
Mickey Rourke appeared in Iron Man 2.,SUPPORTS,['mickey rourke'],REFUTES,False,SUPPORTS,True
Northwestern University is a private university in Michigan.,REFUTES,['northwestern university'],REFUTES,True,REFUTES,True
San Diego Comic-Con was founded in San Diego in 1970.,SUPPORTS,['san diego comic-con'],SUPPORTS,True,REFUTES,True
Mickey Rourke appeared in a film written by Sylvester Stallone.,SUPPORTS,['mickey rourke'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Nawaz Sharif is the 20th President of Pakistan.,NOT_ENOUGH_INFO,['nawaz sharif'],REFUTES,False,REFUTES,True
Brad Wilk started his career as a clown.,NOT_ENOUGH_INFO,['brad wilk'],REFUTES,False,REFUTES,True
The Originals (TV series) began airing on The CW in October of 2005.,REFUTES,['cw'],REFUTES,True,NOT_ENOUGH_INFO,False
Samwell Tarly makes zero appearances in Game of Thrones.,REFUTES,['thrones'],REFUTES,True,NOT_ENOUGH_INFO,False
Johnny Galecki acted in an ABC sitcom for five years.,SUPPORTS,"['johnny galecki', 'abc']",SUPPORTS,True,NOT_ENOUGH_INFO,True
Jamie Lee Curtis' father is unknown.,NOT_ENOUGH_INFO,['jamie lee curtis'],REFUTES,False,NOT_ENOUGH_INFO,True
Carlos Santana was born in the 20th century.,SUPPORTS,['carlos santana'],SUPPORTS,True,SUPPORTS,True
Murda Beatz's dog's name is Shane Lindstrom.,NOT_ENOUGH_INFO,['murda beatz'],NOT_ENOUGH_INFO,True,REFUTES,True
Jenny McCarthy began her career in 1995.,REFUTES,['jenny mccarthy'],SUPPORTS,False,NOT_ENOUGH_INFO,True
L.A. Reid has served as the CEO of an American record label owned by Universal Music Group.,NOT_ENOUGH_INFO,['l.a. reid'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Alexandra Daddario was born in the seventies.,REFUTES,['alexandra daddario'],REFUTES,True,SUPPORTS,True
John Dolmayan is a singer.,NOT_ENOUGH_INFO,['john dolmayan'],REFUTES,False,SUPPORTS,True
Jason Katims has made no contributions to Roswell.,REFUTES,"['roswell', 'jason katims']",REFUTES,True,NOT_ENOUGH_INFO,False
Gotham City Sirens was exclusively created in in Argentina.,NOT_ENOUGH_INFO,['gotham city sirens'],REFUTES,False,REFUTES,True
Lost was not on ABC.,REFUTES,['abc'],REFUTES,True,REFUTES,True
Margaret Thatcher implemented laws that have come to be known as Thatcherism.,NOT_ENOUGH_INFO,['margaret thatcher'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Joe Rogan moved to Los Angeles in 1994.,SUPPORTS,['joe rogan'],SUPPORTS,True,REFUTES,True
Diwali originated in France.,NOT_ENOUGH_INFO,['diwali'],REFUTES,False,REFUTES,True
Don Hall is a film critic.,NOT_ENOUGH_INFO,['don hall'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
"Otto I, Holy Roman Emperor engaged in war.",SUPPORTS,['otto i'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Weekly Idol is hosted by a rapper.,SUPPORTS,['idol'],REFUTES,False,NOT_ENOUGH_INFO,False
Barry Van Dyke is an American actor from California.,NOT_ENOUGH_INFO,['barry van dyke'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Joni Mitchell stopped going on tour.,SUPPORTS,['joni mitchell'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Margaret Thatcher was the first woman to lead a major political party in the United Kingdom.,SUPPORTS,['margaret thatcher'],REFUTES,False,NOT_ENOUGH_INFO,True
Fred Seibert has produced live action commercials.,NOT_ENOUGH_INFO,['fred seibert'],SUPPORTS,False,NOT_ENOUGH_INFO,True
John DiMaggio refused to work on any shows from Cartoon Network.,REFUTES,['john dimaggio'],REFUTES,True,NOT_ENOUGH_INFO,True
Bob Ross was Italian.,NOT_ENOUGH_INFO,['bob ross'],REFUTES,False,SUPPORTS,True
Dave Gibbons has no middle name.,REFUTES,['dave gibbons'],REFUTES,True,NOT_ENOUGH_INFO,True
Stephen Hillenburg was fascinated with the ocean as a child.,SUPPORTS,['stephen hillenburg'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Private lives is a comedy of drugs by Noel Coward.,REFUTES,['noel coward'],REFUTES,True,NOT_ENOUGH_INFO,True
Murda Beatz is only a jazz record producer.,REFUTES,['murda beatz'],REFUTES,True,REFUTES,True
Sennacherib's youngest son was Ismael.,REFUTES,['sennacherib'],REFUTES,True,NOT_ENOUGH_INFO,False
Omar Khadr was sentenced to two years in prison.,NOT_ENOUGH_INFO,['omar khadr'],REFUTES,False,NOT_ENOUGH_INFO,True
A&E was previously the Arts & Entertainment Network.,SUPPORTS,['a&e'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Celebrity Rehab with Dr. Drew was a scripted TV drama.,REFUTES,['celebrity rehab'],REFUTES,True,REFUTES,True
Oscar de la Hoya was named Fighter of the Year.,SUPPORTS,['oscar de la hoya'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Tatum O'Neal got married.,SUPPORTS,"[""tatum o'neal""]",NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,False
Tilda Swinton is not an artist.,REFUTES,['tilda swinton'],REFUTES,True,REFUTES,True
Amancio Ortega is a plumber.,REFUTES,['amancio ortega'],REFUTES,True,REFUTES,True
Joe Rogan did not move to Los Angeles in 1994.,REFUTES,['joe rogan'],REFUTES,True,NOT_ENOUGH_INFO,True
Youtube has been ranked by President Trump.,NOT_ENOUGH_INFO,['youtube'],REFUTES,False,NOT_ENOUGH_INFO,True
James VI and I was a major adversary of a single parliament for England.,REFUTES,['james vi'],REFUTES,True,NOT_ENOUGH_INFO,False
Tata Motors is listed on the first (BSE) Bombay Stock Exchange.,NOT_ENOUGH_INFO,['tata motors'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Trevor Griffiths is a writer.,SUPPORTS,['trevor griffiths'],SUPPORTS,True,SUPPORTS,True
Ernest Medina was court martialed in 1982.,REFUTES,['ernest medina'],REFUTES,True,NOT_ENOUGH_INFO,True
Fidel Castro transferred his responsibilities to his sister.,NOT_ENOUGH_INFO,['fidel castro'],REFUTES,False,NOT_ENOUGH_INFO,True
Robert Palmer (writer) is a father.,NOT_ENOUGH_INFO,['robert palmer'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,False
"Murda Beatz is from Fort Erie, Montreal.",REFUTES,['murda beatz'],REFUTES,True,REFUTES,True
Osamu Tezuka was a child.,SUPPORTS,['osamu tezuka'],NOT_ENOUGH_INFO,False,SUPPORTS,True
Larry Wilmore is the writer of Les Miserables.,NOT_ENOUGH_INFO,['larry wilmore'],REFUTES,False,REFUTES,True
Brad Wilk died before being a member of Greta in 1990.,REFUTES,['brad wilk'],REFUTES,True,REFUTES,True
Google Search can be used by spring 2018.,NOT_ENOUGH_INFO,['google search'],SUPPORTS,False,REFUTES,True
"Diana, Princess of Wales did not die in a car crash in Paris on August 31st, 1997.",REFUTES,['wales'],REFUTES,True,REFUTES,True
Taarak Mehta Ka Ooltah Chashmah is not a sitcom.,REFUTES,['taarak mehta'],REFUTES,True,NOT_ENOUGH_INFO,False
Harris Jayaraj is from India.,SUPPORTS,['harris jayaraj'],SUPPORTS,True,SUPPORTS,True
Sean Gunn was in Guardians of the Galaxy in 2015.,REFUTES,['sean gunn'],SUPPORTS,False,SUPPORTS,True
Manchester by the Sea is a film that was premiered at the Sundance Film Festival.,SUPPORTS,['manchester'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Noel Fisher was on HBO.,NOT_ENOUGH_INFO,"['hbo', 'noel fisher']",SUPPORTS,False,SUPPORTS,True
Hezbollah received zero support from Iran.,REFUTES,['hezbollah'],REFUTES,True,SUPPORTS,True
American Idol (season 8) had Randy Jackson as a director.,NOT_ENOUGH_INFO,['idol'],REFUTES,False,NOT_ENOUGH_INFO,True
Tijuana is on an island.,REFUTES,['tijuana'],REFUTES,True,REFUTES,True
Bethany Hamilton wrote a to do list.,NOT_ENOUGH_INFO,['bethany hamilton'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
Derek Hough has worked.,SUPPORTS,['derek hough'],SUPPORTS,True,SUPPORTS,True
Death Note is a Japanese television science fiction series based on the manga series of the same name.,NOT_ENOUGH_INFO,['death note'],SUPPORTS,False,REFUTES,True
William Cohen is from Oregon.,REFUTES,['william cohen'],REFUTES,True,SUPPORTS,True
James Jones won the Three-Point Contest.,SUPPORTS,['james jones'],NOT_ENOUGH_INFO,False,NOT_ENOUGH_INFO,True
Martin Van Buren was appointed.,SUPPORTS,['martin van buren'],NOT_ENOUGH_INFO,False,REFUTES,True
Ernest Medina participated in a documented mass killing.,SUPPORTS,['ernest medina'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Anne Boleyn is not an influential person.,REFUTES,['anne boleyn'],REFUTES,True,REFUTES,True
I Kissed a Girl is part of Katy Perry's second studio jazz album.,NOT_ENOUGH_INFO,['katy perry'],REFUTES,False,NOT_ENOUGH_INFO,False
Kendall Jenner is online.,NOT_ENOUGH_INFO,['kendall jenner'],NOT_ENOUGH_INFO,True,SUPPORTS,True
Fred Armisen is a screenwriter for television series.,NOT_ENOUGH_INFO,['fred armisen'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Island Records was co-founded by Chris Blackwell.,SUPPORTS,['island records'],SUPPORTS,True,REFUTES,True
James Earl Jones was a voice actor in a movie.,SUPPORTS,['james earl jones'],SUPPORTS,True,SUPPORTS,True
David Spade starred in a minefield.,NOT_ENOUGH_INFO,['david spade'],REFUTES,False,SUPPORTS,True
"Chris Kyle died on March 2, 2013.",REFUTES,['chris kyle'],SUPPORTS,False,SUPPORTS,True
"""Champ"" is a nickname held by James Jones.",SUPPORTS,['james jones'],REFUTES,False,NOT_ENOUGH_INFO,False
Taylor Lautner appeared on television sitcoms when he was a teenager.,SUPPORTS,['taylor lautner'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Sands Hotel and Casino closed in 1952.,REFUTES,['sands hotel'],REFUTES,True,REFUTES,True
Bessie Smith was a heavy metal singer.,REFUTES,['bessie smith'],REFUTES,True,REFUTES,True
I Kissed a Girl is part of Katy Perry's second studio EP.,NOT_ENOUGH_INFO,['katy perry'],REFUTES,False,NOT_ENOUGH_INFO,False
WGBH-TV is a radio station.,NOT_ENOUGH_INFO,['wgbh-tv'],REFUTES,False,REFUTES,True
Brian Michael Bendis has worked in Panama.,NOT_ENOUGH_INFO,['brian michael bendis'],NOT_ENOUGH_INFO,True,REFUTES,True
Trace Cyrus is the cousin of Noah Cyrus.,REFUTES,['noah cyrus'],REFUTES,True,NOT_ENOUGH_INFO,True
The Vandals were first heard of in Krakow.,NOT_ENOUGH_INFO,['vandals'],REFUTES,False,REFUTES,True
XHamster's The Sex Factor forces eight men and eight women to battle to become a porn star.,NOT_ENOUGH_INFO,['xhamster'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Shannon Lee is not American.,REFUTES,['shannon lee'],REFUTES,True,REFUTES,True
Times Higher Education World University Rankings is a publication of illustrations.,REFUTES,"['times', 'times higher education world university rankings']",REFUTES,True,REFUTES,True
"The Originals (TV series) began airing on The CW on October 30, 2013.",REFUTES,['cw'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Battle of the Bastards is a Game of Thrones episode.,SUPPORTS,['thrones'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Janelle Monáe has only ever been a plumber.,REFUTES,['janelle monáe'],REFUTES,True,REFUTES,True
Carlos Santana was the most popular singer in the nineties.,NOT_ENOUGH_INFO,['carlos santana'],REFUTES,False,NOT_ENOUGH_INFO,True
Mandy Moore had a career in country music for 11 years.,NOT_ENOUGH_INFO,['mandy moore'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
The maximum elevation in the Hindu Kush is at Tirichmir.,NOT_ENOUGH_INFO,['kush'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,NOT_ENOUGH_INFO,['kim jong-il'],REFUTES,False,SUPPORTS,True
Ann Richards was the head of the executive branch of a state government.,SUPPORTS,['ann richards'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Samsung has developed and marketed televisions.,NOT_ENOUGH_INFO,['samsung'],SUPPORTS,False,SUPPORTS,True
Osamu Tezuka only practiced drawing as a young adult.,NOT_ENOUGH_INFO,['osamu tezuka'],REFUTES,False,REFUTES,True
Mandy Moore is a writer.,SUPPORTS,['mandy moore'],NOT_ENOUGH_INFO,False,SUPPORTS,True
