claim,subject,predicate,object_raw,object_text,property_id,confidence,route,mapping_source,semantic_score,relation_phrase,object
Harrison Ford stars in Blade Runner 2049.,,stars_in,,,,low,semantic_search,none,,star in person,
Richard Dawkins makes regular internet appearances.,Richard Dawkins,make,regular internet appearances,,,low,semantic_search,none,,make,
Brad Wilk was a drummer for a band.,Brad Wilk,be,drummer,drummer,P106,high,kg_exact_match,rule,,,
"Mickey Rourke appeared in court on May 5, 2011.",Mickey Rourke,appeared_in,,,,low,semantic_search,none,,appear in court on date,
Billie Joe Armstrong was born in the 1973.,Billie Joe Armstrong,born,the 1973,1973,P569,high,kg_exact_match,rule,,,
Ernest Medina was uninvolved in the My Lai Massacre.,Ernest Medina,be,uninvolved,uninvolved,P39,medium,kg_retrieve,rule,,,
XHamster puts into production a reality series.,XHamster,put,reality,,,low,semantic_search,none,,put into production,
Soyuz was part of the Soviet army.,Soyuz,be,the Soviet army,Soviet army,P361,high,kg_exact_match,rule,,,
John Deighton developed psychological problems.,John Deighton,developed_by,psychological problems,,,low,semantic_search,none,,develop,
Michaela Watkins full name is Michaela Suzanne Watkins.,name,be,Michaela Suzanne Watkins,,,low,semantic_search,none,,be michaela suzanne watkins,
Edmund H. North was a Gemini.,Edmund H. North,be,gemini,gemini,P106,high,kg_exact_match,rule,,,
Edmund H. North won an Academy Award for Best Screenplay.,Edmund H. North,won,an Academy Award for Best Screenplay,Academy Award for Best Screenplay,P166,high,kg_exact_match,rule,,,
Eric Church is a vegetarian.,Eric Church,be,vegetarian,vegetarian,P106,high,kg_exact_match,rule,,,
John Glen directs A View to a Kill.,View,directed_by,John Glen,John Glen,P57,medium,kg_retrieve,rule,,,
House is a Fox prime-time drama.,House,be,a Fox prime-time drama,,,low,semantic_search,none,,be a fox prime-time drama,
Murda Beatz is Irish.,Murda Beatz,be,Ireland,Ireland,P27,high,kg_exact_match,rule,,,
Shawn Carlson is a German physicist.,Shawn Carlson,be,physicist,physicist,P106,high,kg_exact_match,rule,,,
James VI and I was a major advocate of a single parliament.,I,james vi,,,,low,semantic_search,none,,james vi be,
Caroline Kennedy from 2013 to 2017 served as United States Ambassador to Japan.,Caroline Kennedy,served_as,japan,japan,P39,medium,kg_retrieve,rule,,,
Bruce Shand was awarded the Military Cross.,Bruce Shand,award,Military Cross,Military Cross,P166,high,kg_exact_match,semantic_assist,,award be,
Sam Claflin was not in Pirates of the Caribbean: On Stranger Tides.,Sam Claflin,be,Pirates,Pirates,P131,medium,kg_exact_match,rule,,,
James Jones missed the finals once.,James Jones,miss,the finals,,,low,semantic_search,none,,miss,
Miranda Otto began her fishing career in 1986.,Miranda Otto,begin,her fishing career,,,low,semantic_search,none,,begin in date,
Danielle Cormack was born on December 31.,Danielle Cormack,born,Dec-31,Dec-31,P569,high,kg_exact_match,rule,,,
PacSun sells products.,PacSun,sell,products,,,low,semantic_search,none,,sell,
Bongwater follows the story of a drug dealer.,Bongwater,follow,the story of a drug dealer,,,low,semantic_search,none,,follow,
Blue Jasmine has Cate Blanchett directing it.,Blue Jasmine,directed_by,it,,,low,semantic_search,none,,direct,
Gordon Ramsay has employed cooks.,Gordon Ramsay,employ,cooks,,,low,semantic_search,none,,employ,
Brad Wilk started his career as a clown.,Brad Wilk,start,his career,,,low,semantic_search,none,,start as a clown,
David Spade was fired from being in Black Sheep.,David Spade,fire,,,,low,semantic_search,none,,fire from be,
Brian Michael Bendis has written legislation.,Brian Michael Bendis,written_by,Brian Michael Bendis,Brian Michael Bendis,P58,medium,kg_retrieve,semantic_assist,,write,
AMGTV has sports television programming.,AMGTV,have,sports television programming,,,low,semantic_search,none,,have,
Baz Luhrmann has a 2009 film.,Baz Luhrmann,have,a 2009 film,,,low,semantic_search,none,,have,
Edmund H. North co-wrote the script for Twilight.,Edmund H. North,cowrote,the script for Twilight,,,low,semantic_search,none,,cowrote,
Part of Hindu Kush is higher than the Himalayas.,Part,be,himalayas,himalayas,P39,medium,kg_retrieve,rule,,,
L.A. Reid has been the president of Arista Records.,L.A. Reid,be,president,president,P106,high,kg_exact_match,rule,,,
New Orleans Pelicans compete the southwest Division of the NBA.,New Orleans Pelicans,compete,Division of the,,,low,semantic_search,none,,compete,
Barry Van Dyke is an American doctor.,Barry Van Dyke,be,doctor,doctor,P106,high,kg_exact_match,rule,,,
Ashley Cole is President of Russia.,Ashley Cole,be,president,president,P106,high,kg_exact_match,rule,,,
Justine Bateman is not a writer.,Justine Bateman,be,writer,writer,P106,high,kg_exact_match,rule,,,
Jeong Hyeong-don's birthday is May 7.,Jeong Hyeong-don,be,May-07,May-07,P39,medium,kg_retrieve,rule,,,
Diwali supports ignorance over knowledge.,Diwali,support,ignorance,,,low,semantic_search,none,,support over knowledge,
Henry II of France announced an untimely death.,Henry II,announce,an untimely death,,,low,semantic_search,none,,announce,
Birthday Song (2 Chainz song) features Drake.,Birthday Song,feature,Drake,,,low,semantic_search,none,,feature,
12 million copies of Bad Romance were bought around the world.,copies,buy,,,,low,semantic_search,none,,buy around the world be,
Kellyanne Conway has been embroiled in a series of controversies.,Kellyanne Conway,embroil,,,,low,semantic_search,none,,embroil in a series of controversies be,
Magic Johnson played for the Bulls.,Magic Johnson,played_in,Bulls,Bulls,P463,high,kg_exact_match,semantic_assist,,play for organization,
Renato Balestra is an orphan.,Renato Balestra,be,orphan,orphan,P106,high,kg_exact_match,rule,,,
Wales is a colony.,Wales,be,a colony,,,low,semantic_search,none,,be a colony,
Smriti Mandhana is an Indian soccer player.,Smriti Mandhana,be,soccer player,soccer player,P106,high,kg_exact_match,rule,,,
Caroline Kennedy is a judge.,Caroline Kennedy,be,judge,judge,P106,high,kg_exact_match,rule,,,
Terry Crews played professional hockey.,Terry Crews,played_in,professional hockey,,,low,semantic_search,none,,play,
The Washington Wizards have won seven seasons of American Idol.,Washington Wizards,won,seven seasons,seven seasons,P166,high,kg_exact_match,rule,,,
Stanley Williams died in California.,Stanley Williams,died,California,California,P20,high,kg_exact_match,rule,,,
Richard Dawkins has yet to appear on the radio.,Richard Dawkins,have,,,,low,semantic_search,none,,have appear,
"Harold Macmillan was born on February 10, 1794.",Harold Macmillan,born,"February 10, 1794","February 10, 1794",P569,high,kg_exact_match,rule,,,
Simón Bolívar was a leader.,Simón Bolívar,be,leader,leader,P106,high,kg_exact_match,rule,,,
Baz Luhrmann's film Australia stars an Australian actress and film producer as the character Waluigi.,Baz Luhrmann's,stars_in,an Australian actress and film producer as the character Waluigi,,,low,semantic_search,none,,star,
Eva Green did not have a career in theatre.,Eva Green,have,a career in theatre,,,low,semantic_search,none,,have do,
Michael B. Jordan is a director.,Michael B. Jordan,be,director,director,P106,high,kg_exact_match,rule,,,
Bethany Hamilton's biopic had a director.,Bethany Hamilton,have,a director,,,low,semantic_search,none,,have,
Lizzy Caplan reviewed the television show Party Down,Lizzy Caplan,review,television,,,low,semantic_search,none,,review,
"Diana, Princess of Wales became known as Lady Shakespeare.",Princess,know,,,,low,semantic_search,none,,know as person became,
James Jones won the All-Star Game.,James Jones,won,the All-Star Game,All-Star Game,P166,high,kg_exact_match,rule,,,
Youtube is a hotel.,Youtube,be,a hotel,,,low,semantic_search,none,,be a hotel,
"Diana, Princess of Wales became known as Lady Diana Thatcher.",Princess,know,,,,low,semantic_search,none,,know as person became,
Yale University's alumni includes 20 living millionaires.,Yale University's,include,20 living millionaires,,,low,semantic_search,none,,include,
Lou Gehrig got more votes than anyone else on America's Next Top Model in 1999.,Lou Gehrig,get,more votes than anyone else on America's Next Top Model,,,low,semantic_search,none,,get in date,
The playoffs were only missed by James Jones once.,playoffs,miss,,,,low,semantic_search,none,,miss be,
Ashley Cole owns the Los Angeles Galaxy.,Ashley Cole,owned_by,the Los Angeles Galaxy,Los Angeles Galaxy,P127,high,kg_exact_match,rule,,,
James VI and I was a major advocate of a single parliament for England and Scotland.,I,james vi,,,,low,semantic_search,none,,james vi be,
Rupert Murdoch has control of 21st Century Fox.,Rupert Murdoch,have,control of 21st Century Fox,,,low,semantic_search,none,,have,
"Mel B died before collaborating with Missy ""Misdemeanor"" Elliott.",Mel B,died,,,P570,low,kg_retrieve,rule,,,
Randy Savage is a professional at a fighting sport.,Randy Savage,be,a professional,,,low,semantic_search,none,,be a professional at a fighting sport,
Aleister Crowley was a singer.,Aleister Crowley,be,singer,singer,P106,high,kg_exact_match,rule,,,
Simón Bolívar was Dominican.,Simón Bolívar,be,dominican,dominican,P106,high,kg_exact_match,rule,,,
Marco Polo was a person.,Marco Polo,be,person,person,P106,high,kg_exact_match,rule,,,
Tylenol is advertised for reducing shoulder pain.,Tylenol,advertise,,,,low,semantic_search,none,,advertise for,
Marco Polo was a Venetian.,Marco Polo,be,venetian,venetian,P106,high,kg_exact_match,rule,,,
Lemmy was unknown due to his appearance.,Lemmy,be,unknown,unknown,P106,high,kg_exact_match,rule,,,
Anushka Sharma won an award.,Anushka Sharma,won,an award,award,P166,high,kg_exact_match,rule,,,
Peking University is in a unitary sovereign state in Eastern Europe.,Peking University,be,,,,low,semantic_search,none,,be in a unitary sovereign state in eastern europe,
Aarhus is the seat of Aarhus municipality.,Aarhus,be,the seat of Aarhus municipality,,,low,semantic_search,none,,be the seat of aarhus municipality,
Steve Ditko has only ever studied in Boston.,Steve Ditko,study,,,,low,semantic_search,none,,study in place,
Smriti Mandhana was born in August.,Smriti Mandhana,born,August,August,P569,high,kg_exact_match,rule,,,
Tom DeLonge formed Black Sabbath in 1992.,Black Sabbath,formed,Tom DeLonge,Tom DeLonge,P112,medium,kg_retrieve,rule,,,
Noel Fisher starred in Shameless and gained acclaim.,Shameless,stars_in,Noel Fisher,Noel Fisher,P161,medium,kg_retrieve,rule,,,
Michael B. Jordan is a CEO.,Michael B. Jordan,be,ceo,ceo,P106,high,kg_exact_match,rule,,,
"Kellyanne Conway has used the phrase ""alternative lies.""",Kellyanne Conway,use,lies,,,low,semantic_search,none,,use,
Nuuk is in television.,Nuuk,be,,,,low,semantic_search,none,,be in television,
Aaron Burr's final year of college was 1804.,Aaron Burr,be,1804,1804,P39,medium,kg_retrieve,rule,,,
Alexandra Daddario is Japanese.,Alexandra Daddario,be,Japan,Japan,P27,high,kg_exact_match,rule,,,
The Mod Squad ran on ABC from 1968 to 1973.,Mod Squad,run,,,,low,semantic_search,none,,run on organization from date,
The current Chief Executive Officer of Lockheed Martin was born in Kansas.,Chief Executive Officer,born,Kansas,Kansas,P19,high,kg_exact_match,rule,,,
Humphrey Bogart is incapable of being in any films.,Humphrey Bogart,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,
I Kissed a Girl is part of Katy Perry's second studio sandwich.,I,kiss,,,,low,semantic_search,none,,kiss,
Henry VIII (TV serial) has an all-female cast.,Henry VIII,have,an all-female cast,,,low,semantic_search,none,,have,
"Chris Kyle died on February 2, 2013.",Chris Kyle,died,"February 2, 2013","February 2, 2013",P570,high,kg_exact_match,rule,,,
Saturn Corporation is popularly referred to as Saturn LLC.,Saturn Corporation,refer,Saturn,Saturn,P463,high,kg_exact_match,semantic_assist,,refer to as organization,
Craig David is a performer that does pop music.,Craig David,be,music,music,P39,medium,kg_retrieve,rule,,,
Martin Van Buren was a husband.,Martin Van Buren,be,band,band,P106,high,kg_exact_match,rule,,,
Renato Balestra studied for an architecture degree.,Renato Balestra,study,,,,low,semantic_search,none,,study for an architecture degree,
Leonard Nimoy was in the video game Civilization IV.,Leonard Nimoy,be,,,,low,semantic_search,none,,be in the video game civilization iv,
Ashton Kutcher was in five films in 2005.,Ashton Kutcher,be,,,,low,semantic_search,none,,be in date,
"Michaela Watkins full name is Michaela Suzanne Watkins, the same as her mother.",name,be,Michaela Suzanne Watkins,,,low,semantic_search,none,,be michaela suzanne watkins,
Danger UXB is from Prague.,UXB,be,,,,low,semantic_search,none,,be from place,
Ann Richards was the head of the executive branch of Texas's baseball team.,Ann Richards,be,executive,executive,P106,high,kg_exact_match,rule,,,
TakePart is a division of 20th Century Fox.,TakePart,be,a division of 20th Century Fox,,,low,semantic_search,none,,be a division of 20th century fox,
Baz Luhrmann's film Australia is an epic historical romantic drama from 2001.,Baz Luhrmann's,be,an epic historical romantic drama from 2001,,,low,semantic_search,none,,be an epic historical romantic drama from 2001,
NRG Recording Studios was sold by Jay Baumgardner.,NRG Recording Studios,sell,,,,low,semantic_search,none,,sell be,
Richard Dawkins has been awarded prestigious film awards.,Richard Dawkins,award,prestigious film awards,prestigious film awards,P166,high,kg_exact_match,semantic_assist,,award be,
In 1971 the American record label asylum Records was founded.,label asylum,founded_by,,,,low,semantic_search,none,,found in date be,
Meteora is not an album by Linkin Park.,Meteora,be,park,park,P39,medium,kg_retrieve,rule,,,
Marjorie Gross wrote for a blog.,Marjorie Gross,written_by,,,,low,semantic_search,none,,write for a blog,
Awkward Black Girl is a Pakistani comedy web series.,Awkward Black Girl,be,Pakistan,Pakistan,P27,high,kg_exact_match,rule,,,
Michael Vick's maiden name is Dwayne.,Michael Vick,be,dwayne,dwayne,P39,medium,kg_retrieve,rule,,,
Trevor Griffiths is only a novelist.,Trevor Griffiths,be,novelist,novelist,P106,high,kg_exact_match,rule,,,
The White House Press Secretary is a junior official.,Press Secretary,be,junior official,junior official,P39,medium,kg_retrieve,rule,,,
Ian Brennan has no role in media creation.,Ian Brennan,have,no role in media creation,,,low,semantic_search,none,,have,
Marjorie Gross wrote for film.,Marjorie Gross,written_by,Marjorie Gross,Marjorie Gross,P57,medium,kg_retrieve,semantic_assist,,write for film,
Connie Nielsen played an unnamed character on Boss.,Connie Nielsen,played_in,an unnamed character,,,low,semantic_search,none,,play on person,
Bongwater was based on a book by a French writer.,Bongwater,base,,,,low,semantic_search,none,,base on a book by a french writer be,
Billie Joe Armstrong finished college in 1972.,Billie Joe Armstrong,finish,college,,,low,semantic_search,none,,finish in date,
"Diana, Princess of Wales has yet to be married.",Diana,have,,,,low,semantic_search,none,,have marry,
Wales' population rapidly declined.,Wales,decline,,,,low,semantic_search,none,,decline,
"Michael Vick graduated college on June 26th, 1980.",Michael Vick,graduate,college,,,low,semantic_search,none,,graduate on date,
José Ferrer was a writer of plays.,José Ferrer,be,writer,writer,P106,high,kg_exact_match,rule,,,
Damon Albarn collaborated with Brian Eno on his album Everyday Robots.,Damon Albarn,collaborate,,,,low,semantic_search,none,,collaborate with person on his album everyday robots,
Tom DeLonge formed Blink-182 in 2002.,Tom DeLonge,formed,,,,low,semantic_search,none,,form in date,
Fred Armisen is a cat.,Fred Armisen,be,cat,cat,P106,high,kg_exact_match,rule,,,
Anushka Sharma is a winner of a Filmfare Award.,Anushka Sharma,be,winner,winner,P39,medium,kg_retrieve,rule,,,
Joe Rogan did not move to Los Angeles in 1994.,Joe Rogan,move,,,,low,semantic_search,none,,move to place in date do,
Richard Dawkins makes regular radio appearances.,Richard Dawkins,make,regular radio appearances,,,low,semantic_search,none,,make,
Mount Rushmore was built by Tim Howd and his pet snake Lincoln Borglum.,Mount Rushmore,build,,,,low,semantic_search,none,,build be,
Annette Badland was in The Sparticle Mystery portraying Doomsday Dora.,Annette Badland,be,,,,low,semantic_search,none,,be in the sparticle mystery portraying doomsday dora,
Edmund H. North was British.,Edmund H. North,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,
Duff McKagan is a painter.,Duff McKagan,be,painter,painter,P106,high,kg_exact_match,rule,,,
Jim Broadbent is involved with Game of Thrones (season 7).,Jim Broadbent,involve,,,,low,semantic_search,none,,involve with game of thrones (season 7,
Stan Beeman is in an HBO series.,Stan Beeman,be,,,,low,semantic_search,none,,be in an hbo series,
"Kellyanne Conway referenced something which never occurred, called the ""Bowling Green massacre.""",Kellyanne Conway,reference,something which never occurred,,,low,semantic_search,none,,reference call,
Terry Crews played in the NFL in 2001.,2001,played_in,Terry Crews,Terry Crews,P161,medium,kg_retrieve,rule,,,
Tylenol is advertised for increasing pain.,Tylenol,advertise,,,,low,semantic_search,none,,advertise for,
Pearl Jam plays music together.,Pearl Jam,played_in,music,,,low,semantic_search,none,,play,
Fidel Castro transferred his responsibilities.,Fidel Castro,transfer,his responsibilities,,,low,semantic_search,none,,transfer,
Anne Sullivan was born on April 12 1866.,Anne Sullivan,born,April 12 1866,April 12 1866,P569,high,kg_exact_match,rule,,,
Andrew Kevin Walker is a director.,Andrew Kevin Walker,be,director,director,P106,high,kg_exact_match,rule,,,
Annette Badland played Doomsday Dora in The Sparticle Mystery.,Sparticle Mystery,played_in,Annette Badland,Annette Badland,P161,medium,kg_retrieve,rule,,,
Matthias Corvinus had a daughter called the Bibliotheca Corviniana.,Matthias Corvinus,have,a daughter called the Bibliotheca Corviniana,,,low,semantic_search,none,,have,
XHamster produces a collection of Indian literature.,XHamster,produced,a collection of Indian literature,,,low,semantic_search,none,,produce,
Randy Savage wears his hair long.,Randy Savage,wear,his hair,,,low,semantic_search,none,,wear,
Janelle Monáe is a singer and songwriter.,Janelle Monáe,be,singer,singer,P106,high,kg_exact_match,rule,,,
Aarhus is in the geographical center of Denmark.,Aarhus,be,,,,low,semantic_search,none,,be in the geographical center of denmark,
AMGTV does not have sports television programming.,AMGTV,have,sports television programming,,,low,semantic_search,none,,have,
Aaron Burr killed Alexander Hamilton in New Jersey.,Aaron Burr,kill,Alexander Hamilton,,,low,semantic_search,none,,kill in place,
Colin Kaepernick is a football player.,Colin Kaepernick,be,football player,football player,P106,high,kg_exact_match,rule,,,
Capitol Nashville released Keith Urban.,Capitol Nashville,released,Keith Urban,Keith Urban,P264,high,kg_exact_match,semantic_assist,,release,
Paris (Paris Hilton album) incorporates rhythm and lyrics of soul.,Paris,incorporate,rhythm and lyrics of soul,,,low,semantic_search,none,,incorporate,
Damon Albarn's debut album was co-recorded by Richard Russell.,Damon Albarn,corecorde,,,,low,semantic_search,none,,corecorde be,
Bethany Hamilton's biopic was directed by Sean McNamara.,Bethany Hamilton,directed_by,,,,low,semantic_search,none,,direct be,
Tim McGraw had a supporting role in Friday Night Lights.,Tim McGraw,have,a supporting role,,,low,semantic_search,none,,have in friday night lights,
"The United Nations Charter was vetoed in San Francisco, United States.",United Nations Charter,veto,,,,low,semantic_search,none,,veto in place be,
The 14th Dalai Lama resides in India.,Dalai Lama,reside,India,India,P131,medium,kg_exact_match,rule,,,
Harold Macmillan served as the first Prime Minister of the United Kingdom.,Harold Macmillan,served_as,prime minister,prime minister,P39,medium,kg_retrieve,rule,,,
"""Love the Way You Lie"" is Eminem's single.",,be,eminem's single,eminem's single,P39,medium,semantic_search,rule,,,
Underdog stars Harrison Ford.,Underdog,stars_in,Harrison Ford,,,low,semantic_search,none,,star,
"The Tijuana -- San Diego metropolitan area's name is a misnomer, as Tijuana is not located within it.",Tijuana,be,a misnomer,,,low,semantic_search,none,,be a misnomer locate,
Mel B released a film on Virgin Records.,Mel B,released,Virgin Records,Virgin Records,P264,high,kg_exact_match,semantic_assist,,release,
Stan Beeman is in a show on CBS.,Stan Beeman,be,,,,low,semantic_search,none,,be in a show on cbs,
One of the founders of San Diego Comic-Con was not Richard Alf.,One,be,richard alf,richard alf,P39,medium,kg_retrieve,rule,,,
Connie Nielsen is a film actress.,Connie Nielsen,be,Connie Nielsen,Connie Nielsen,P57,medium,kg_retrieve,semantic_assist,,be a film actress,
Trevor Griffiths is English and Scottish.,Trevor Griffiths,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,
Tom Baker has narrated American audio books.,Tom Baker,narrate,American audio books,,,low,semantic_search,none,,narrate,
Barry Van Dyke is the second son of American actor Dick Van Dyke.,Barry Van Dyke,be,actor,actor,P106,high,kg_exact_match,rule,,,
Angela Bassett started her film career in 1954.,Angela Bassett,start,her film career,,,low,semantic_search,none,,start in date,
Private Lives is a comedy of manners from 1930 by Noel Coward.,Lives,be,comedy,comedy,P39,medium,kg_retrieve,rule,,,
Liverpool was the town where The Beatles formed and where they broke up.,Liverpool,be,the town where The Beatles formed and where they broke up,,,low,semantic_search,none,,be the town where the beatles formed and where they broke up,
"In California, Stephen Hillenburg was raised.",Stephen Hillenburg,raise,,,,low,semantic_search,none,,raise in place be,
Birthday Song (2 Chainz song) was produced by Drake.,Birthday Song,produced,,,,low,semantic_search,none,,produce be,
Lizzy Caplan starred in television show like True Blood.,television show like True Blood,stars_in,Lizzy Caplan,Lizzy Caplan,P161,medium,kg_retrieve,rule,,,
Bethany Hamilton wrote a to do list.,Bethany Hamilton,written_by,a,,,low,semantic_search,none,,write do,
John Deighton was forced to pursue other lines of work outside of tending his bar.,John Deighton,force,,,,low,semantic_search,none,,force be pursue,
Valencia is the seat of government of Valencia.,Valencia,be,seat,seat,P39,medium,kg_retrieve,rule,,,
A song on Virgin Records was released by Mel B.,song,released,,,,low,semantic_search,none,,release be,
Jamie Murray is a three-time Grand Slam doubles loser.,Jamie Murray,be,,,,low,semantic_search,none,,be,
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world in 1998 and 1999.,Oscar de la Hoya,be,fighter,fighter,P39,medium,kg_retrieve,rule,,,
Tylenol is shouted for relieving the symptoms of cold.,Tylenol,shout,,,,low,semantic_search,none,,shout for,
NRG Recording Studios is a performance facility.,NRG Recording Studios,be,a performance facility,,,low,semantic_search,none,,be a performance facility,
The current Chief Executive Officer of Lockheed Martin is Kansas native Marillyn Hewson.,Chief Executive Officer,be,marillyn hewson,marillyn hewson,P39,medium,kg_retrieve,rule,,,
The State of Palestine denies a territory in Western Asia.,State of Palestine,deny,a territory in Western Asia,,,low,semantic_search,none,,deny,
Tom Baker has narrated American commercials.,Tom Baker,narrate,American commercials,,,low,semantic_search,none,,narrate,
Ralph Fults was born January 23 1911 and died in March of 1993.,Ralph Fults,born,January 23 1911,January 23 1911,P569,high,kg_exact_match,rule,,,
Wentworth Miller made his screenwriting debut with the 80s film Stoker.,Wentworth Miller,make,his screenwriting debut,,,low,semantic_search,none,,make with person,
Trollhunters was produced by Adam Sandler.,Trollhunters,produced,,,,low,semantic_search,none,,produce be,
Taylor Lautner had voice roles in 13 video game titles in 2008.,Taylor Lautner,have,voice roles in 13 video game titles,,,low,semantic_search,none,,have in date,
Margaret Thatcher was a squid.,Margaret Thatcher,be,squid,squid,P106,high,kg_exact_match,rule,,,
Earl Scruggs's dog's name is Barkington.,dog,be,barkington,barkington,P39,medium,kg_retrieve,rule,,,
Harvard University is not a research university.,Harvard University,be,a research university,,,low,semantic_search,none,,be a research university,
Danny Brown released two music studio albums.,Danny Brown,released,Danny Brown,Danny Brown,P264,high,kg_exact_match,semantic_assist,,release,
Wales has a large region rich in coal deposits called the South Wales Coalfield.,Wales,have,a large region rich in coal deposits called the South Wales Coalfield,,,low,semantic_search,none,,have,
Robert Palmer (writer) has produced poems.,Robert Palmer,appositive,,,P106,high,kg_exact_match,rule,,,writer
Bonn is the birthplace of Ludwig van Beethoven.,Bonn,be,the birthplace of Ludwig van Beethoven,,,low,semantic_search,none,,be the birthplace of ludwig van beethoven,
Brian Michael Bendis has worked in the movie industry.,Brian Michael Bendis,worked,,,,low,semantic_search,none,,work in the movie industry,
Mel B released a song in Germany.,Mel B,released,Mel B,Mel B,P264,high,kg_exact_match,semantic_assist,,release,
Duane Chapman is a person who bounty hunts.,Duane Chapman,be,hunts,hunts,P39,medium,kg_retrieve,rule,,,
Martin Van Buren was exclusively unelected.,Martin Van Buren,unelecte,,,,low,semantic_search,none,,unelecte be,
Colin Kaepernick did not become a starter during the 49ers 63rd season in the National Football League.,Colin Kaepernick,become,a starter,,,low,semantic_search,none,,become a starter during in organization do,
Craig David has yet to be nominated for any Brit Awards.,Craig David,have,,,,low,semantic_search,none,,have nominate,
In 1947 José Ferrer won a Tony Award.,José Ferrer,won,a Tony Award,Tony Award,P166,high,kg_exact_match,rule,,,
NRG Recording Studios is located in California.,NRG Recording Studios,locate,California,California,P159,high,kg_exact_match,rule,,,
Tilda Swinton is vegan.,Tilda Swinton,be,vegan,vegan,P106,high,kg_exact_match,rule,,,
Victoria Palace Theatre is on the same side as a central London railway terminus.,Victoria Palace Theatre,be,,,,low,semantic_search,none,,be on the same side as a central london railway terminus,
Danger UXB is a TV show.,UXB,be,a TV show,,,low,semantic_search,none,,be a tv show,
Trevor Griffiths was born in a city.,Trevor Griffiths,born,,,P19,low,kg_retrieve,rule,,,
San Diego Comic-Con was founded as the Golden State Comic Book Convention.,San Diego Comic-Con,founded_by,,,,low,semantic_search,none,,found as place be,
"Murda Beatz is from San Diego, California.",Murda Beatz,be,San Diego,San Diego,P27,high,kg_exact_match,rule,,,
"Simón Bolívar died on December 17th, 1830 in Bolivia.",Simón Bolívar,died,"December 17th, 1830","December 17th, 1830",P570,high,kg_exact_match,rule,,,
Creedence Clearwater Revival was not active in the late 1960s and early 1970s.,Clearwater Revival,be,active,active,P106,high,kg_exact_match,rule,,,
Osamu Tezuka has a French mother.,Osamu Tezuka,have,a French mother,,,low,semantic_search,none,,have,
Margaret Thatcher was the earliest woman to lead a major political party in the UK.,Margaret Thatcher,be,party,party,P39,medium,kg_retrieve,rule,,,
Hindu Kush is entirely in India.,Kush,be,India,India,P131,medium,kg_exact_match,rule,,,
Richard Dawkins has been awarded prestigious awards.,Richard Dawkins,award,prestigious awards,prestigious awards,P166,high,kg_exact_match,semantic_assist,,award be,
Mike Huckabee was Governor of Arkansas.,Mike Huckabee,be,governor,governor,P106,high,kg_exact_match,rule,,,
Chaka Khan had a crossover hit featuring Waluigi.,Chaka Khan,have,a crossover hit featuring Waluigi,,,low,semantic_search,none,,have,
Duane Chapman is American.,Duane Chapman,be,United States,United States,P27,high,kg_exact_match,rule,,,
Shawn Carlson is a science chef.,Shawn Carlson,be,chef,chef,P106,high,kg_exact_match,rule,,,
Ernest Medina participated in a documented mass killing.,Ernest Medina,participate,,,,low,semantic_search,none,,participate in a documented mass killing,
Brad Wilk was a manager for a hard rock band.,Brad Wilk,be,manager,manager,P106,high,kg_exact_match,rule,,,
Osamu Tezuka has a mother.,Osamu Tezuka,have,a mother,,,low,semantic_search,none,,have,
Paul Nicholls is a singer.,Paul Nicholls,be,singer,singer,P106,high,kg_exact_match,rule,,,
Fidel Castro has a brother called Raúl Castro.,Fidel Castro,have,a brother called Raúl Castro,,,low,semantic_search,none,,have,
Mickey Rourke only appears in a films he writes alone.,Mickey Rourke,appeared_in,,,,low,semantic_search,none,,appear in a films he writes alone,
"Trevor Griffiths was born on April 4, 1935.",Trevor Griffiths,born,"April 4, 1935","April 4, 1935",P569,high,kg_exact_match,rule,,,
Henry II of France died in an archery tournament.,Henry II,died,,,P570,low,kg_retrieve,rule,,,
Ann Richards was a Muslim.,Ann Richards,be,muslim,muslim,P106,high,kg_exact_match,rule,,,
James VI and I was a person.,I,james vi,,,,low,semantic_search,none,,james vi be,
Janet Leigh was incapable of acting.,Janet Leigh,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,
Alexandra Daddario is not American.,Alexandra Daddario,be,United States,United States,P27,high,kg_exact_match,rule,,,
"Diana, Princess of Wales's father inherited the title of Duke of Wellington.",Diana,inherit,the title of Duke of Wellington,,,low,semantic_search,none,,inherit,
Damon Albarn's debut album was co-produced by Richard Russel.,Damon Albarn,coproduce,,,,low,semantic_search,none,,coproduce be,
Thomas Jefferson did not found the University of Virginia.,Thomas Jefferson,find,the University of Virginia,,,low,semantic_search,none,,find do,
The Adventures of Pluto Nash was directed by Ron Underwood.,Adventures of Pluto Nash,directed_by,,,,low,semantic_search,none,,direct be,
Janet Leigh was Catholic.,Janet Leigh,be,catholic,catholic,P106,high,kg_exact_match,rule,,,
The horse was domesticated on a broad scale by 3000 BC.,horse,domesticate,,,,low,semantic_search,none,,domesticate on a broad scale be,
Baz Luhrmann's film Australia is an epic futuristic romantic drama.,Baz Luhrmann's,be,an epic futuristic romantic drama,,,low,semantic_search,none,,be an epic futuristic romantic drama,
