claim,label,matched
Wales' population rapidly emigrated.,NOT ENOUGH INFO,['wales']
Anne Rice was born in the United States of America.,SUPPORTS,['anne rice']
Anne Rice lived in New Jersey.,NOT ENOUGH INFO,['anne rice']
Henry VIII (TV serial) stars only an actor who was born in 1976.,REFUTES,['henry viii']
Roswell was directed by Jason Katims.,NOT ENOUGH INFO,"['roswell', 'jason katims']"
Danger UXB is from 1980.,REFUTES,['uxb']
"Aaron Burr killed Alexander Hamilton in Seaside Heights, New Jersey.",REFUTES,['aaron burr']
Michael B. Jordan was born.,SUPPORTS,['michael b. jordan']
Duane Chapman is not American.,REFUTES,['duane chapman']
Yale University's alumni includes five U.S. Presidents.,SUPPORTS,"['yale university', ""yale university's""]"
Creedence Clearwater Revival had Stu Cook on trumpet.,NOT ENOUGH INFO,['creedence clearwater revival']
Game of Thrones (season 7) will introduce several new story-line.,NOT ENOUGH INFO,['thrones']
Al Jardine is a flutist.,NOT ENOUGH INFO,['al jardine']
Wentworth Miller made his teaching debut.,NOT ENOUGH INFO,['wentworth miller']
Angela Bassett received a master of fine arts degree.,SUPPORTS,['angela bassett']
Connie Nielsen played the role of Meredith Kane in Boss.,SUPPORTS,['connie nielsen']
Carlos Santana was ignored by critics in the nineties.,REFUTES,['carlos santana']
Harris Jayaraj was born in January of 1975.,SUPPORTS,['harris jayaraj']
Fidel Castro transferred his responsibilities to his brother.,SUPPORTS,['fidel castro']
Eddie Guerrero experienced alcoholism.,SUPPORTS,['eddie guerrero']
Most of Ripon College's student body live on dead bodies.,NOT ENOUGH INFO,['ripon college']
The Pelican Brief is a 1993 American legal political thriller starring Bruce Willis.,NOT ENOUGH INFO,['bruce willis']
Johanna Braddy starred in a game show tv series in 2015.,NOT ENOUGH INFO,['johanna braddy']
The Mod Squad is a Peruvian television series.,REFUTES,['the mod squad']
Noah Cyrus is the youngest sister of Miley Cyrus.,SUPPORTS,['noah cyrus']
Shawn Carlson was born in 1920.,REFUTES,['shawn carlson']
Tilda Swinton is a dancer.,NOT ENOUGH INFO,['tilda swinton']
Drake Bell attended A Reminder.,REFUTES,"['drake', 'drake bell']"
Bessie Smith sang the blues.,SUPPORTS,['bessie smith']
Colin Kaepernick is a starter for the San Francisco Giants.,NOT ENOUGH INFO,['colin kaepernick']
Creedence Clearwater Revival was informally abbreviated to BBC.,REFUTES,"['creedence clearwater revival', 'bbc']"
Danny Brown is from the U.S.,SUPPORTS,['danny brown']
The religion of Mike Huckabee is Southern Baptism.,SUPPORTS,['mike huckabee']
Tijuana is located in Brazil.,REFUTES,['tijuana']
PacSun sells products designed for young adults.,SUPPORTS,['pacsun']
Janelle Monáe was born in the United States.,SUPPORTS,['janelle monáe']
Anushka Sharma is an singer.,NOT ENOUGH INFO,['anushka sharma']
Caroline Kennedy is a Catholic.,NOT ENOUGH INFO,['caroline kennedy']
Richard Dawkins has yet to be awarded any academic awards.,REFUTES,['richard dawkins']
Henry II of France died in a river.,NOT ENOUGH INFO,['henry ii']
Osamu Tezuka's mother had to erase pages in his notebook in 2000.,NOT ENOUGH INFO,['osamu tezuka']
Christa McAuliffe refused to ever work as a teacher.,REFUTES,['christa mcauliffe']
Comedy is something performed by Fred Armisen.,SUPPORTS,['fred armisen']
Duane Chapman is not a bounty hunter.,REFUTES,['duane chapman']
The Mighty Ducks was produced by a subsidiary of Walt Disney Studios.,SUPPORTS,['disney']
Leonard Nimoy was in Civilization IV.,SUPPORTS,['leonard nimoy']
Harvard University is the first University in the U.S.,SUPPORTS,['harvard university']
Oscar Nomination was awarded to Humphrey Bogart.,SUPPORTS,['humphrey bogart']
"Diana, Princess of Wales divorced on August 28, 1996 after 4 years of marriage.",REFUTES,['wales']
AMGTV does not have entertainment television programming.,REFUTES,['amgtv']
Mary-Kate Olsen and Ashley Olsen are incapable of being fashion designers.,REFUTES,"['mary-kate olsen', 'ashley olsen']"
Rick Yune has only ever been in cinematic film.,REFUTES,['rick yune']
Kelly Preston was in multiple job positions.,SUPPORTS,['kelly preston']
Rio's sequel was released on a date during the 21st century.,SUPPORTS,['rio']
Simón Bolívar died in 1830.,SUPPORTS,['simón bolívar']
Janet Leigh was incapable of singing.,REFUTES,['janet leigh']
Harris Jayaraj is a film composer.,SUPPORTS,['harris jayaraj']
Randy Savage is a basketball player.,REFUTES,['randy savage']
Jens Stoltenberg died in 1998.,REFUTES,['jens stoltenberg']
Humphrey Bogart does acting.,SUPPORTS,['humphrey bogart']
"Mary-Kate Olsen's and Ashley Olsen's dog was born on June 13th, 1986.",NOT ENOUGH INFO,"['mary-kate olsen', 'ashley olsen']"
Brazzers is a pornographic production company started in 2004.,NOT ENOUGH INFO,['brazzers']
The current President of Lockheed Martin is Lee Iacocca.,REFUTES,['lockheed']
Larry Wilmore acts in Twilight.,NOT ENOUGH INFO,['larry wilmore']
Youtube has been ranked by a company.,SUPPORTS,['youtube']
Penélope Cruz has modeled for clothing company Ralph Lauren.,NOT ENOUGH INFO,"['ralph lauren', 'penélope cruz']"
Tylenol is a brand of medical solutions.,NOT ENOUGH INFO,['tylenol']
WGBH-TV is located in Dorchester.,NOT ENOUGH INFO,['wgbh-tv']
Don Bradman was a Test player and had a long retirement.,NOT ENOUGH INFO,['don bradman']
Carlos Santana was born in the forties.,SUPPORTS,['carlos santana']
Ernest Medina was tried by a court-martial in 1971.,SUPPORTS,['ernest medina']
Ann Richards was the head of the executive branch of Texas's government.,SUPPORTS,['ann richards']
The United Nations Charter was drafted in the 20th Century.,NOT ENOUGH INFO,['the united nations']
Dave Gibbons was born in April.,SUPPORTS,['dave gibbons']
Aarhus is the second-largest city in Denmark.,SUPPORTS,['aarhus']
"Murda Beatz was born on February 21, 1994.",REFUTES,['murda beatz']
PacSun sells accessories.,SUPPORTS,['pacsun']
Ripon College is in hell.,REFUTES,['ripon college']
Saturn Corporation is also known as a balloon.,REFUTES,['saturn corporation']
Penélope Cruz refused to model for L'Oréal.,REFUTES,['penélope cruz']
Princess Mononoke only has a peaceful setting.,NOT ENOUGH INFO,['mononoke']
Soul Food was produced by Kenneth Edmonds.,SUPPORTS,['soul food']
Tilda Swinton is a fashion artist.,NOT ENOUGH INFO,['tilda swinton']
Aarhus is located on the east egg of the Jutland peninsula.,NOT ENOUGH INFO,['aarhus']
Sheryl Lee reprised her role of Phoebe Buffay.,NOT ENOUGH INFO,['sheryl lee']
Britt Robertson is an entertainer.,SUPPORTS,['britt robertson']
Lemmy was known for his distinct high voice.,NOT ENOUGH INFO,['lemmy']
Brad Wilk helped co-found Linkin Park.,NOT ENOUGH INFO,"['brad wilk', 'linkin park']"
Ralph Fults was known for being a stickler for the law and his inability to get out of places.,NOT ENOUGH INFO,['ralph fults']
"Mel B partied with Missy ""Misdemeanor"" Elliott.",NOT ENOUGH INFO,"['mel', 'mel b']"
Janelle Monáe is Mexican.,REFUTES,['janelle monáe']
Don Hall is the writer of Pete's Dragon.,NOT ENOUGH INFO,['don hall']
Larry Wilmore is from New York.,NOT ENOUGH INFO,['larry wilmore']
"Duane Chapman's nickname is Duane Lee ""Dog"" Chapman I.",NOT ENOUGH INFO,['duane chapman']
Don Hall works for DreamWorks.,NOT ENOUGH INFO,['don hall']
"Michael Vick's middle name is Dwayne, given to him by his parents.",NOT ENOUGH INFO,['michael vick']
The Mighty Ducks was distributed by Walt Disney Pictures in 2017.,REFUTES,['disney']
Taylor Lautner was unable to appear on My Wife and Kids.,REFUTES,['taylor lautner']
Michael Vick is a former football player.,SUPPORTS,['michael vick']
Manmohan Singh was only a prime minister before Jawaharlal Nehru.,REFUTES,['manmohan singh']
Noah Cyrus is the older sister of Miley Cyrus.,REFUTES,['noah cyrus']
Jerry Robinson mentored Steve Ditko.,SUPPORTS,['steve ditko']
Robert Palmer (writer) has written for the Illuminati.,NOT ENOUGH INFO,['robert palmer']
Annette Badland was in Wizards vs Aliens.,SUPPORTS,['annette badland']
Anne Rice lived in San Fransisco.,SUPPORTS,['anne rice']
Gal Gadot was ranked ahead of Esti Ginzburgh for Israel's highest earning actress/models.,SUPPORTS,['gal gadot']
Henry II of France suffered an untimely death.,SUPPORTS,['henry ii']
Christian Gottlob Neefe was born in February 1748.,SUPPORTS,['christian gottlob neefe']
Yale University's alumni includes zero U.S. Presidents.,REFUTES,"['yale university', ""yale university's""]"
WGBH-TV is a station on TV.,SUPPORTS,['wgbh-tv']
Bongwater was based on a book.,SUPPORTS,['bongwater']
Cher is Cher's eighteenth album.,SUPPORTS,['cher']
Craig David was nominated for Grammy Awards.,SUPPORTS,"['craig david', 'grammy']"
Rupert Murdoch never formed BSkyB.,REFUTES,['rupert murdoch']
Bret Easton Ellis wrote a screenplay.,SUPPORTS,['bret easton ellis']
Tiber Oil Field was discovered in September 1909.,REFUTES,['tiber oil field']
"Mike Huckabee hosts Huckabee, a daytime talk show.",REFUTES,['mike huckabee']
The Armenian Genocide took place outside the Ottoman Empire and the Republic of Turkey.,REFUTES,['the armenian genocide']
The undergraduate college of Harvard University became coeducational after its merger with Boston College.,REFUTES,['harvard university']
The first inauguration of Bill Clinton made him the 22nd Super Bowl Most Valuable Player.,REFUTES,['bill clinton']
XHamster is a novelization.,REFUTES,['xhamster']
Alexandra Daddario is American and French.,NOT ENOUGH INFO,['alexandra daddario']
Weekly Idol is hosted by an actor.,NOT ENOUGH INFO,['idol']
Brad Wilk was a member of Greta in 1990.,SUPPORTS,['brad wilk']
Lalla Ward is a writer.,SUPPORTS,['lalla ward']
One of the founders of San Diego Comic-Con was Chevron.,NOT ENOUGH INFO,['san diego comic-con']
Jeong Hyeong-don's birth year is 1978.,SUPPORTS,['jeong hyeong-don']
At least five studio albums have been released by Chaka Khan.,NOT ENOUGH INFO,['chaka khan']
Paris (Paris Hilton album) is devoid of elements of pop rock.,NOT ENOUGH INFO,['paris hilton']
Alice Cooper's full name is Vincent Damon Furnier.,SUPPORTS,['alice cooper']
Moonlight's filming did not begin in 2015.,REFUTES,['moonlight']
A Grammy winner is Robert Lopez.,SUPPORTS,['grammy']
Yale University's alumni doesn't include heads of state.,REFUTES,"['yale university', ""yale university's""]"
Brad Wilk was a guitarist for Greta.,NOT ENOUGH INFO,['brad wilk']
Margaret Thatcher was a president.,NOT ENOUGH INFO,['margaret thatcher']
AMGTV is an adult-oriented television network.,REFUTES,['amgtv']
"Scotty Moore was born on December 17, 1931.",REFUTES,['scotty moore']
Pearl Jam is a type of dressing.,REFUTES,['pearl jam']
Awkward Black Girl is without a star.,REFUTES,['awkward black girl']
Luis Fonsi is exclusively an actor.,REFUTES,['luis fonsi']
Magic Johnson was a basketball player for the Lakers.,SUPPORTS,['magic johnson']
Rick Yune was on a series that cancelled on December 13.,REFUTES,['rick yune']
House contains a character played by Omar Epps.,SUPPORTS,['omar epps']
Luis Fonsi is Chinese.,REFUTES,['luis fonsi']
The Armenian Genocide occurred after the Second Constitutional Era.,NOT ENOUGH INFO,['the armenian genocide']
Stanley Williams died in 2007.,REFUTES,['stanley williams']
Sebastian Stan had a role in a TV production.,SUPPORTS,['sebastian stan']
Jennifer Lopez dated Ben Affleck after her second divorce.,NOT ENOUGH INFO,['jennifer lopez']
Brad Wilk was a member of Greta in January of 1990.,NOT ENOUGH INFO,['brad wilk']
Yale University's alumni includes 19 justices.,SUPPORTS,"['yale university', ""yale university's""]"
Joe Walsh was inducted in 2001.,SUPPORTS,['joe walsh']
David Packouz is an artist.,NOT ENOUGH INFO,['david packouz']
Villa Park refused to host the 90th FA Community Shield.,REFUTES,['villa park']
Jennifer Lopez made an album.,SUPPORTS,['jennifer lopez']
Sam Claflin is in jail.,NOT ENOUGH INFO,['sam claflin']
Andrew Kevin Walker is from North America.,SUPPORTS,['andrew kevin walker']
Creedence Clearwater Revival did not have John Fogerty as lead vocalist and guitarist.,REFUTES,['creedence clearwater revival']
Viola Davis was unable to appear in Kate & Leopold.,NOT ENOUGH INFO,['viola davis']
Pearl Jam is a band.,SUPPORTS,['pearl jam']
"60 percent of the University of Mississippi's students come from Mississippi, of which 23 percent are minorities.",SUPPORTS,['the university of mississippi']
David Spade worked with graves.,NOT ENOUGH INFO,['david spade']
XHamster's The Sex Factor makes eight men and eight women compete to become a novelist.,REFUTES,['xhamster']
Peking University is in Guam.,REFUTES,['peking university']
Drake Bell doesn't sing.,REFUTES,"['drake', 'drake bell']"
Harris Jayaraj is exclusively a teacher.,REFUTES,['harris jayaraj']
Justin Chatwin performed in the BBC UK series Doctor Who.,SUPPORTS,['bbc']
Tom Baker has had directing roles.,NOT ENOUGH INFO,['tom baker']
Regina King has received a Supreme Court nomination.,NOT ENOUGH INFO,['regina king']
"Andrew Kevin Walker was born on August 24, 1964.",REFUTES,['andrew kevin walker']
Rick Yune has appeared only exclusively on radio.,REFUTES,['rick yune']
Jack Falahee was born.,SUPPORTS,['jack falahee']
David Spade starred in Roshomon.,NOT ENOUGH INFO,['david spade']
Soyuz was part of the Soviet space program.,SUPPORTS,['soyuz']
Roswell is an Azerbaijani TV series.,REFUTES,['roswell']
Youtube has been ranked by a Utah-based web traffic analysis company.,NOT ENOUGH INFO,['youtube']
Eminem collaborates with Lil Uzi Vert on Recovery.,NOT ENOUGH INFO,['eminem']
Kim Jong-il died in 1982.,REFUTES,['kim jong-il']
Jennifer Lopez made a wood shed.,NOT ENOUGH INFO,['jennifer lopez']
Bradley Fuller is partners with Michael Bay.,SUPPORTS,['bradley fuller']
Tylenol is advertised for dealing with fever.,NOT ENOUGH INFO,['tylenol']
Saturn Corporation is a subsidiary of no other entities.,REFUTES,['saturn corporation']
Yale University's alumni includes Bill Gates.,NOT ENOUGH INFO,"['yale university', ""yale university's""]"
Folklore excludes proverbs.,REFUTES,['folklore']
Lemmy was known for his distinctive playing style and appearance.,SUPPORTS,['lemmy']
Carlos Santana formed Santana in Florida.,REFUTES,['carlos santana']
Simón Bolívar's maiden name is Simón José Antonio de la Santísima Trinidad Bolívar y Palacios.,SUPPORTS,"[""simón bolívar's"", 'simón bolívar']"
The State of Palestine claims Ghassan Kanafani.,NOT ENOUGH INFO,['the state of palestine']
Angela Bassett started her film career in Boston Massachusetts.,NOT ENOUGH INFO,['angela bassett']
Weekly Idol is hosted by Future.,REFUTES,['idol']
Baz Luhrmann's film Australia stars Hugh Jackman as Waluigi.,NOT ENOUGH INFO,['baz luhrmann']
The Gifted failed to be based on Marvel Comics' X-Men properties.,REFUTES,['marvel comics']
Janelle Monáe is a ventriloquist.,NOT ENOUGH INFO,['janelle monáe']
Bhagat Singh was a revolutionary.,SUPPORTS,['bhagat singh']
Aaron Burr dueled a Secretary of State.,NOT ENOUGH INFO,['aaron burr']
Ashton Kutcher is a romantic comedy actor.,SUPPORTS,['ashton kutcher']
Johanna Braddy acted in a TV series on Lifetime.,SUPPORTS,['johanna braddy']
Buffy Summers has been portrayed only by Kristy Swanson.,REFUTES,['kristy swanson']
Ann Richards was a governor for four years.,SUPPORTS,['ann richards']
Birthday Song (2 Chainz song) was composed by Mike Dean.,NOT ENOUGH INFO,['mike dean']
Shadowhunters premiered on MTV.,REFUTES,['mtv']
Soul Food was published by Tracey Edmonds.,NOT ENOUGH INFO,['soul food']
Gordon Ramsay has had trainees.,NOT ENOUGH INFO,['gordon ramsay']
Shawn Carlson is a STEM and poetry educator.,NOT ENOUGH INFO,['shawn carlson']
Tilda Swinton does performance art.,SUPPORTS,['tilda swinton']
Stanley Williams was a person who committed crimes.,SUPPORTS,['stanley williams']
Blade Runner 2049 stars Keanu Reeves.,NOT ENOUGH INFO,['blade runner']
Manmohan Singh was a prime minister after the first Prime Minister of America.,NOT ENOUGH INFO,['manmohan singh']
Margaret Thatcher was the first woman to lead a major political party in the United Kingdom.,SUPPORTS,['margaret thatcher']
Henry VIII (TV serial) stars a film and television director.,NOT ENOUGH INFO,['henry viii']
Paramore is from an island.,REFUTES,['paramore']
Mud has Tom Cruise in its cast.,NOT ENOUGH INFO,['tom cruise']
Carlos Santana is a guitarist.,SUPPORTS,['carlos santana']
Tilda Swinton is a vegan.,NOT ENOUGH INFO,['tilda swinton']
Jennifer Lopez was married at least twice.,NOT ENOUGH INFO,['jennifer lopez']
Michaela Watkins is incapable of humor.,REFUTES,['michaela watkins']
Youtube is ranked as the fourth most popular site in the world.,REFUTES,['youtube']
Ralph Fults was born January 23 1911 and died in 1999.,REFUTES,['ralph fults']
Jens Stoltenberg was Prime Minister of Canada from 2000 to 2001.,REFUTES,['jens stoltenberg']
Danielle Cormack is from New Zealand.,SUPPORTS,['danielle cormack']
The United Nations Charter is the foundational declaration of war of the United Nations.,REFUTES,['the united nations']
Tinker Tailor Soldier Spy stars Tom Hardy and Tom Cruise.,NOT ENOUGH INFO,['tom cruise']
Mick Thomson was born in a hospital.,NOT ENOUGH INFO,['mick thomson']
Tata Motors is a singer of the BSE SENSEX index.,NOT ENOUGH INFO,['tata motors']
Harvard University is small.,REFUTES,['harvard university']
Paramore is not from Tennessee.,REFUTES,['paramore']
Game of Thrones (season 7) involves new dragons.,NOT ENOUGH INFO,['thrones']
Aaron Burr's final year of vice presidency was 1901.,REFUTES,"[""aaron burr's"", 'aaron burr']"
Tom DeLonge formed a cult.,NOT ENOUGH INFO,['tom delonge']
Drake Bell has yet to release anything.,REFUTES,"['drake', 'drake bell']"
Island Records was reviewed by Chris Blackwell.,NOT ENOUGH INFO,['island records']
Samwell Tarly is murdered in novels by George R. R. Martin.,NOT ENOUGH INFO,['george r. r. martin']
Ann Richards was the head of the executive branch of Maine's government.,NOT ENOUGH INFO,['ann richards']
Don Hall is a Gemini.,NOT ENOUGH INFO,['don hall']
Bethany Hamilton wasn't a surfer.,REFUTES,['bethany hamilton']
Humphrey Bogart was honored by the Queen of England that is over 100 years old.,NOT ENOUGH INFO,['humphrey bogart']
Aarhus is located on the west coast of the Jutland peninsula.,REFUTES,['aarhus']
Danny Brown is incapable of being a musician.,REFUTES,['danny brown']
Mel B released doves.,NOT ENOUGH INFO,"['mel', 'mel b']"
Barry Van Dyke is the oldest son of Dick Van Dyke.,REFUTES,"['dick van dyke', 'barry van dyke']"
Jennifer Lopez married a minimum of two times.,SUPPORTS,"['jennifer lopez', 'times']"
"Chris Kyle was born on April 8, 1974.",SUPPORTS,['chris kyle']
Miranda Otto is the first daughter of Barry Otto.,NOT ENOUGH INFO,['miranda otto']
The NAACP Image Award for Outstanding Supporting Actor in a Drama Series has been received by Omar Epps.,SUPPORTS,['omar epps']
Don Bradman had anything but declining years.,REFUTES,['don bradman']
90% of Harvard University's students live on campus.,NOT ENOUGH INFO,['harvard university']
Don Bradman's status was recognized only 50 years before his retirement.,REFUTES,['don bradman']
Harrison Ford stars in Blade Runner 2049.,SUPPORTS,"['blade runner', 'harrison ford']"
Richard Dawkins makes regular internet appearances.,SUPPORTS,['richard dawkins']
Brad Wilk was a drummer for a band.,SUPPORTS,['brad wilk']
"Mickey Rourke appeared in court on May 5, 2011.",NOT ENOUGH INFO,['mickey rourke']
Billie Joe Armstrong was born in the 1973.,REFUTES,['billie joe armstrong']
Ernest Medina was uninvolved in the My Lai Massacre.,REFUTES,['ernest medina']
XHamster puts into production a reality series.,SUPPORTS,['xhamster']
Soyuz was part of the Soviet army.,NOT ENOUGH INFO,['soyuz']
John Deighton developed psychological problems.,NOT ENOUGH INFO,['john deighton']
Michaela Watkins full name is Michaela Suzanne Watkins.,SUPPORTS,['michaela watkins']
Edmund H. North was a Gemini.,REFUTES,['edmund h. north']
Edmund H. North won an Academy Award for Best Screenplay.,SUPPORTS,['edmund h. north']
Eric Church is a vegetarian.,NOT ENOUGH INFO,['eric church']
John Glen directs A View to a Kill.,SUPPORTS,['john glen']
House is a Fox prime-time drama.,SUPPORTS,['fox']
Murda Beatz is Irish.,NOT ENOUGH INFO,['murda beatz']
Shawn Carlson is a German physicist.,REFUTES,['shawn carlson']
James VI and I was a major advocate of a single parliament.,SUPPORTS,['james vi']
Caroline Kennedy from 2013 to 2017 served as United States Ambassador to Japan.,SUPPORTS,['caroline kennedy']
Bruce Shand was awarded the Military Cross.,SUPPORTS,['bruce shand']
Sam Claflin was not in Pirates of the Caribbean: On Stranger Tides.,REFUTES,['sam claflin']
James Jones missed the finals once.,SUPPORTS,['james jones']
Miranda Otto began her fishing career in 1986.,REFUTES,['miranda otto']
Danielle Cormack was born on December 31.,REFUTES,['danielle cormack']
PacSun sells products.,SUPPORTS,['pacsun']
Bongwater follows the story of a drug dealer.,SUPPORTS,['bongwater']
Blue Jasmine has Cate Blanchett directing it.,SUPPORTS,['cate blanchett']
Gordon Ramsay has employed cooks.,SUPPORTS,['gordon ramsay']
Brad Wilk started his career as a clown.,NOT ENOUGH INFO,['brad wilk']
David Spade was fired from being in Black Sheep.,REFUTES,['david spade']
Brian Michael Bendis has written legislation.,NOT ENOUGH INFO,['brian michael bendis']
AMGTV has sports television programming.,SUPPORTS,['amgtv']
Baz Luhrmann has a 2009 film.,NOT ENOUGH INFO,['baz luhrmann']
Edmund H. North co-wrote the script for Twilight.,NOT ENOUGH INFO,['edmund h. north']
Part of Hindu Kush is higher than the Himalayas.,NOT ENOUGH INFO,['kush']
L.A. Reid has been the president of Arista Records.,SUPPORTS,"['l.a. reid', 'arista records']"
New Orleans Pelicans compete the southwest Division of the NBA.,SUPPORTS,['nba']
Barry Van Dyke is an American doctor.,NOT ENOUGH INFO,['barry van dyke']
Ashley Cole is President of Russia.,NOT ENOUGH INFO,['ashley cole']
Justine Bateman is not a writer.,REFUTES,['justine bateman']
Jeong Hyeong-don's birthday is May 7.,REFUTES,['jeong hyeong-don']
Diwali supports ignorance over knowledge.,REFUTES,['diwali']
Henry II of France announced an untimely death.,NOT ENOUGH INFO,['henry ii']
Birthday Song (2 Chainz song) features Drake.,NOT ENOUGH INFO,['drake']
12 million copies of Bad Romance were bought around the world.,SUPPORTS,['bad romance']
Kellyanne Conway has been embroiled in a series of controversies.,SUPPORTS,['kellyanne conway']
Magic Johnson played for the Bulls.,NOT ENOUGH INFO,['magic johnson']
Renato Balestra is an orphan.,NOT ENOUGH INFO,['renato balestra']
Wales is a colony.,NOT ENOUGH INFO,['wales']
Smriti Mandhana is an Indian soccer player.,NOT ENOUGH INFO,['smriti mandhana']
Caroline Kennedy is a judge.,NOT ENOUGH INFO,['caroline kennedy']
Terry Crews played professional hockey.,REFUTES,['terry crews']
The Washington Wizards have won seven seasons of American Idol.,REFUTES,['idol']
Stanley Williams died in California.,SUPPORTS,['stanley williams']
Richard Dawkins has yet to appear on the radio.,REFUTES,['richard dawkins']
"Harold Macmillan was born on February 10, 1794.",REFUTES,['harold macmillan']
Simón Bolívar was a leader.,SUPPORTS,['simón bolívar']
Baz Luhrmann's film Australia stars an Australian actress and film producer as the character Waluigi.,NOT ENOUGH INFO,['baz luhrmann']
Eva Green did not have a career in theatre.,REFUTES,['eva green']
Michael B. Jordan is a director.,NOT ENOUGH INFO,['michael b. jordan']
Bethany Hamilton's biopic had a director.,SUPPORTS,['bethany hamilton']
Lizzy Caplan reviewed the television show Party Down,NOT ENOUGH INFO,['lizzy caplan']
"Diana, Princess of Wales became known as Lady Shakespeare.",NOT ENOUGH INFO,['wales']
James Jones won the All-Star Game.,NOT ENOUGH INFO,['james jones']
Youtube is a hotel.,REFUTES,['youtube']
"Diana, Princess of Wales became known as Lady Diana Thatcher.",REFUTES,['wales']
Yale University's alumni includes 20 living millionaires.,NOT ENOUGH INFO,"['yale university', ""yale university's""]"
Lou Gehrig got more votes than anyone else on America's Next Top Model in 1999.,NOT ENOUGH INFO,['lou gehrig']
The playoffs were only missed by James Jones once.,SUPPORTS,['james jones']
Ashley Cole owns the Los Angeles Galaxy.,REFUTES,['ashley cole']
James VI and I was a major advocate of a single parliament for England and Scotland.,SUPPORTS,['james vi']
Rupert Murdoch has control of 21st Century Fox.,SUPPORTS,"['fox', 'rupert murdoch']"
"Mel B died before collaborating with Missy ""Misdemeanor"" Elliott.",REFUTES,"['mel', 'mel b']"
Randy Savage is a professional at a fighting sport.,SUPPORTS,['randy savage']
Aleister Crowley was a singer.,NOT ENOUGH INFO,['aleister crowley']
Simón Bolívar was Dominican.,NOT ENOUGH INFO,['simón bolívar']
Marco Polo was a person.,SUPPORTS,['marco polo']
Tylenol is advertised for reducing shoulder pain.,NOT ENOUGH INFO,['tylenol']
Marco Polo was a Venetian.,SUPPORTS,['marco polo']
Lemmy was unknown due to his appearance.,NOT ENOUGH INFO,['lemmy']
Anushka Sharma won an award.,SUPPORTS,['anushka sharma']
Peking University is in a unitary sovereign state in Eastern Europe.,REFUTES,['peking university']
Aarhus is the seat of Aarhus municipality.,SUPPORTS,['aarhus']
Steve Ditko has only ever studied in Boston.,REFUTES,['steve ditko']
Smriti Mandhana was born in August.,REFUTES,['smriti mandhana']
Tom DeLonge formed Black Sabbath in 1992.,NOT ENOUGH INFO,['tom delonge']
Noel Fisher starred in Shameless and gained acclaim.,SUPPORTS,['noel fisher']
Michael B. Jordan is a CEO.,NOT ENOUGH INFO,['michael b. jordan']
"Kellyanne Conway has used the phrase ""alternative lies.""",NOT ENOUGH INFO,['kellyanne conway']
Nuuk is in television.,NOT ENOUGH INFO,['nuuk']
Aaron Burr's final year of college was 1804.,NOT ENOUGH INFO,"[""aaron burr's"", 'aaron burr']"
Alexandra Daddario is Japanese.,REFUTES,['alexandra daddario']
The Mod Squad ran on ABC from 1968 to 1973.,SUPPORTS,"['the mod squad', 'abc']"
The current Chief Executive Officer of Lockheed Martin was born in Kansas.,NOT ENOUGH INFO,['lockheed']
Humphrey Bogart is incapable of being in any films.,REFUTES,['humphrey bogart']
I Kissed a Girl is part of Katy Perry's second studio sandwich.,REFUTES,['katy perry']
Henry VIII (TV serial) has an all-female cast.,REFUTES,['henry viii']
"Chris Kyle died on February 2, 2013.",SUPPORTS,['chris kyle']
Saturn Corporation is popularly referred to as Saturn LLC.,SUPPORTS,['saturn corporation']
Craig David is a performer that does pop music.,NOT ENOUGH INFO,['craig david']
Martin Van Buren was a husband.,NOT ENOUGH INFO,['martin van buren']
Renato Balestra studied for an architecture degree.,NOT ENOUGH INFO,['renato balestra']
Leonard Nimoy was in the video game Civilization IV.,NOT ENOUGH INFO,['leonard nimoy']
Ashton Kutcher was in five films in 2005.,NOT ENOUGH INFO,['ashton kutcher']
"Michaela Watkins full name is Michaela Suzanne Watkins, the same as her mother.",NOT ENOUGH INFO,['michaela watkins']
Danger UXB is from Prague.,NOT ENOUGH INFO,['uxb']
Ann Richards was the head of the executive branch of Texas's baseball team.,REFUTES,['ann richards']
TakePart is a division of 20th Century Fox.,REFUTES,['fox']
Baz Luhrmann's film Australia is an epic historical romantic drama from 2001.,REFUTES,['baz luhrmann']
NRG Recording Studios was sold by Jay Baumgardner.,NOT ENOUGH INFO,['nrg recording studios']
Richard Dawkins has been awarded prestigious film awards.,SUPPORTS,['richard dawkins']
In 1971 the American record label asylum Records was founded.,SUPPORTS,['asylum records']
Meteora is not an album by Linkin Park.,REFUTES,['linkin park']
Marjorie Gross wrote for a blog.,NOT ENOUGH INFO,['marjorie gross']
Awkward Black Girl is a Pakistani comedy web series.,REFUTES,['awkward black girl']
Michael Vick's maiden name is Dwayne.,REFUTES,['michael vick']
Trevor Griffiths is only a novelist.,REFUTES,['trevor griffiths']
The White House Press Secretary is a junior official.,REFUTES,['the white house']
Ian Brennan has no role in media creation.,REFUTES,['ian brennan']
Marjorie Gross wrote for film.,NOT ENOUGH INFO,['marjorie gross']
Connie Nielsen played an unnamed character on Boss.,REFUTES,['connie nielsen']
Bongwater was based on a book by a French writer.,NOT ENOUGH INFO,['bongwater']
Billie Joe Armstrong finished college in 1972.,REFUTES,['billie joe armstrong']
"Diana, Princess of Wales has yet to be married.",REFUTES,['wales']
Wales' population rapidly declined.,REFUTES,['wales']
"Michael Vick graduated college on June 26th, 1980.",REFUTES,['michael vick']
