claim,subject,predicate,object_raw,object_text,property_id,confidence,route,mapping_source,semantic_score,relation_phrase,object,nli_premise,evidence_source,sem_top_triple,sem_top_score,sem_evidence,has_evidence,nli_premise_verbalized,nli_entailment,nli_contradiction,nli_neutral,nli_verdict,nli_confidence,label,gold_label,pred_label
L.A. Reid has served as the CEO of Epic Records.,L.A. Reid,served_as,chief executive officer,chief executive officer,P39,medium,kg_retrieve,rule,,,,L.A. Reid position held chief executive officer,kg_retrieve,,,,True,L.A. Reid has held the position of chief executive officer.,0.0001,0.0008,0.9991,NOT_ENOUGH_INFO,0.9991,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Some of the University of Mississippi's students are minorities.,Some,be,minorities,minorities,P39,medium,kg_retrieve,rule,,,,Some position held minorities,kg_retrieve,,,,True,Some has held the position of minorities.,0.0002,0.0008,0.9991,NOT_ENOUGH_INFO,0.9991,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Henry II of France did not die in a tournament.,Henry II,died,,,P570,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,REFUTES,REFUTES,NOT_ENOUGH_INFO
Bethany Hamilton's biopic had Sean McNamara as director.,Bethany Hamilton,have,Bethany Hamilton's,Bethany Hamilton's,P57,medium,kg_retrieve,semantic_assist,,have as director,,Bethany Hamilton director Bethany Hamilton's,kg_retrieve,,,,True,Bethany Hamilton was directed by Bethany Hamilton's.,0.0,0.9989,0.0011,REFUTES,0.9989,SUPPORTS,SUPPORTS,REFUTES
Tim McGraw played a role in The Blind Side.,Blind Side,played_in,Tim McGraw,Tim McGraw,P161,medium,kg_retrieve,rule,,,,Blind Side cast member Tim McGraw,kg_retrieve,,,,True,Blind Side has Tim McGraw as a cast member.,0.9975,0.0002,0.0023,SUPPORTS,0.9975,SUPPORTS,SUPPORTS,SUPPORTS
Murda Beatz's real name is Donald Trump.,Murda Beatz,be,donald trump,donald trump,P39,medium,kg_retrieve,rule,,,,Murda Beatz position held donald trump,kg_retrieve,,,,True,Murda Beatz has held the position of donald trump.,0.5064,0.2724,0.2213,SUPPORTS,0.5064,REFUTES,REFUTES,SUPPORTS
Eric Church is unable to write songs.,Eric Church,be,songs,songs,P39,medium,kg_retrieve,rule,,,,Eric Church position held songs,kg_retrieve,,,,True,Eric Church has held the position of songs.,0.0001,0.9995,0.0004,REFUTES,0.9995,REFUTES,REFUTES,REFUTES
Viola Davis has played supporting and minor roles in films and television series.,films and television series,played_in,Viola Davis,Viola Davis,P161,medium,kg_retrieve,rule,,,,films and television series cast member Viola Davis,kg_retrieve,,,,True,films and television series has Viola Davis as a cast member.,0.0008,0.0002,0.9991,NOT_ENOUGH_INFO,0.9991,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Awkward Black Girl features Issa Rae in a leading role.,leading role,feature,Awkward Black Girl,Awkward Black Girl,P161,medium,kg_retrieve,rule,,,,leading role cast member Awkward Black Girl,kg_retrieve,,,,True,leading role has Awkward Black Girl as a cast member.,0.0004,0.4976,0.5019,NOT_ENOUGH_INFO,0.5019,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
"Connie Nielsen played the lead character, Meredith Kane, in the second season of The Following.",second season,played_in,Connie Nielsen,Connie Nielsen,P161,medium,kg_retrieve,rule,,,,second season cast member Connie Nielsen,kg_retrieve,,,,True,second season has Connie Nielsen as a cast member.,0.0001,0.0042,0.9956,NOT_ENOUGH_INFO,0.9956,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Richard Dawkins writes books about Catholicism.,Richard Dawkins,written_by,Richard Dawkins,Richard Dawkins,P58,medium,kg_retrieve,semantic_assist,,write,,Richard Dawkins screenwriter Richard Dawkins,kg_retrieve,,,,True,Richard Dawkins was written by Richard Dawkins.,0.0004,0.1775,0.8221,NOT_ENOUGH_INFO,0.8221,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Derek Hough starred in a work.,work,stars_in,Derek Hough,Derek Hough,P161,medium,kg_retrieve,rule,,,,work cast member Derek Hough,kg_retrieve,,,,True,work has Derek Hough as a cast member.,0.9944,0.0003,0.0053,SUPPORTS,0.9944,SUPPORTS,SUPPORTS,SUPPORTS
Meteora is a cartoon by Linkin Park.,Meteora,be,park,park,P39,medium,kg_retrieve,rule,,,,Meteora position held park,kg_retrieve,,,,True,Meteora has held the position of park.,0.0001,0.9407,0.0591,REFUTES,0.9407,REFUTES,REFUTES,REFUTES
1804 was Aaron Burr's last year of vice presidency.,1804,be,last year,last year,P39,medium,kg_retrieve,rule,,,,1804 position held last year,kg_retrieve,,,,True,1804 has held the position of last year.,0.0002,0.0007,0.999,NOT_ENOUGH_INFO,0.999,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Bethany Hamilton wasn't a victim of a shark attack.,Bethany Hamilton,be,victim,victim,P39,medium,kg_retrieve,rule,,,,Bethany Hamilton position held victim,kg_retrieve,,,,True,Bethany Hamilton has held the position of victim.,0.0005,0.9849,0.0146,REFUTES,0.9849,REFUTES,REFUTES,REFUTES
Anushka Sharma never starred in Band Baaja Baaraat.,Band Baaja Baaraat,stars_in,Anushka Sharma,Anushka Sharma,P161,medium,kg_retrieve,rule,,,,Band Baaja Baaraat cast member Anushka Sharma,kg_retrieve,,,,True,Band Baaja Baaraat has Anushka Sharma as a cast member.,0.0,0.9998,0.0002,REFUTES,0.9998,REFUTES,REFUTES,REFUTES
1966 was the year of birth of Justine Bateman.,1966,be,year,year,P39,medium,kg_retrieve,rule,,,,1966 position held year,kg_retrieve,,,,True,1966 has held the position of year.,0.0002,0.027,0.9729,NOT_ENOUGH_INFO,0.9729,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Bruce Shand's best friend is Middleton Hope.,Bruce Shand,be,middleton hope,middleton hope,P39,medium,kg_retrieve,rule,,,,Bruce Shand position held middleton hope,kg_retrieve,,,,True,Bruce Shand has held the position of middleton hope.,0.0061,0.0142,0.9797,NOT_ENOUGH_INFO,0.9797,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Henry II of France died from a stab wound in a jousting tournament.,Henry II,died,,,P570,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Roar (song) is a song by Katy Perry.,Roar,be,perry,perry,P39,medium,kg_retrieve,rule,,,,Roar position held perry,kg_retrieve,,,,True,Roar has held the position of perry.,0.0013,0.0009,0.9978,NOT_ENOUGH_INFO,0.9978,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
John Dolmayan was born on a boat.,John Dolmayan,born,,,P19,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Margaret Thatcher was the first woman to lead a major political party in the 2000s.,Margaret Thatcher,be,party,party,P39,medium,kg_retrieve,rule,,,,Margaret Thatcher position held party,kg_retrieve,,,,True,Margaret Thatcher has held the position of party.,0.0004,0.0001,0.9995,NOT_ENOUGH_INFO,0.9995,REFUTES,REFUTES,NOT_ENOUGH_INFO
John Deighton was unemployed in California.,John Deighton,be,unemployed,unemployed,P39,medium,kg_retrieve,rule,,,,John Deighton position held unemployed,kg_retrieve,,,,True,John Deighton has held the position of unemployed.,0.0003,0.0009,0.9988,NOT_ENOUGH_INFO,0.9988,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
The current President of Lockheed Martin is also the company's chairwoman.,President,be,company's chairwoman,company's chairwoman,P39,medium,kg_retrieve,rule,,,,President position held company's chairwoman,kg_retrieve,,,,True,President has held the position of company's chairwoman.,0.0002,0.0005,0.9993,NOT_ENOUGH_INFO,0.9993,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Andrew Kevin Walker was born on a boat.,Andrew Kevin Walker,born,,,P19,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Hindu Kush's highest point is the peak called Hindu Kush.,Kush,be,kush,kush,P39,medium,kg_retrieve,rule,,,,Kush position held kush,kg_retrieve,,,,True,Kush has held the position of kush.,0.0218,0.0012,0.9769,NOT_ENOUGH_INFO,0.9769,REFUTES,REFUTES,NOT_ENOUGH_INFO
Trevor Griffiths was born in an inner city area.,Trevor Griffiths,born,,,P19,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Henry II of France did not die.,Henry II,died,,,P570,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,REFUTES,REFUTES,NOT_ENOUGH_INFO
Richard Dawkins writes books about atheism.,Richard Dawkins,written_by,Richard Dawkins,Richard Dawkins,P58,medium,kg_retrieve,semantic_assist,,write,,Richard Dawkins screenwriter Richard Dawkins,kg_retrieve,,,,True,Richard Dawkins was written by Richard Dawkins.,0.0257,0.0002,0.9741,NOT_ENOUGH_INFO,0.9741,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Jayasudha was uncast from Daag.,Jayasudha,be,uncast,uncast,P39,medium,kg_retrieve,rule,,,,Jayasudha position held uncast,kg_retrieve,,,,True,Jayasudha has held the position of uncast.,0.001,0.0004,0.9985,NOT_ENOUGH_INFO,0.9985,REFUTES,REFUTES,NOT_ENOUGH_INFO
Don Hall is an employee of Walt Disney Animation Studios.,Don Hall,be,employee,employee,P39,medium,kg_retrieve,rule,,,,Don Hall position held employee,kg_retrieve,,,,True,Don Hall has held the position of employee.,0.0002,0.0003,0.9995,NOT_ENOUGH_INFO,0.9995,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Jean-Michel Basquiat died of a pill overdose.,Jean-Michel Basquiat,died,,,P570,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,REFUTES,REFUTES,NOT_ENOUGH_INFO
Colin Kaepernick was not backup to Alex Smith.,Colin Kaepernick,be,smith,smith,P39,medium,kg_retrieve,rule,,,,Colin Kaepernick position held smith,kg_retrieve,,,,True,Colin Kaepernick has held the position of smith.,0.1223,0.6559,0.2219,REFUTES,0.6559,REFUTES,REFUTES,REFUTES
The only rapper to host Weekly Idol is Common.,rapper,be,common,common,P39,medium,kg_retrieve,rule,,,,rapper position held common,kg_retrieve,,,,True,rapper has held the position of common.,0.0005,0.0002,0.9993,NOT_ENOUGH_INFO,0.9993,REFUTES,REFUTES,NOT_ENOUGH_INFO
Steve Wozniak was a pet of Rod Holt.,Steve Wozniak,be,pet,pet,P39,medium,kg_retrieve,rule,,,,Steve Wozniak position held pet,kg_retrieve,,,,True,Steve Wozniak has held the position of pet.,0.0004,0.0325,0.9671,NOT_ENOUGH_INFO,0.9671,REFUTES,REFUTES,NOT_ENOUGH_INFO
Bruce Shand died on a ranch.,Bruce Shand,died,,,P570,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
The Hindu Kush is a mountain range.,Hindu Kush,be,mountain range,mountain range,P39,medium,kg_retrieve,rule,,,,Hindu Kush position held mountain range,kg_retrieve,,,,True,Hindu Kush has held the position of mountain range.,0.9914,0.001,0.0076,SUPPORTS,0.9914,SUPPORTS,SUPPORTS,SUPPORTS
"Diana, Princess of Wales married.",Princess,married,,,P26,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
One author is Lalla Ward.,author,be,lalla ward,lalla ward,P39,medium,kg_retrieve,rule,,,,author position held lalla ward,kg_retrieve,,,,True,author has held the position of lalla ward.,0.9937,0.0012,0.0051,SUPPORTS,0.9937,SUPPORTS,SUPPORTS,SUPPORTS
Stanley Williams died.,Stanley Williams,died,,,P570,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Valencia is the capital of Valencia.,Valencia,be,capital,capital,P39,medium,kg_retrieve,rule,,,,Valencia position held capital,kg_retrieve,,,,True,Valencia has held the position of capital.,0.9901,0.0003,0.0095,SUPPORTS,0.9901,SUPPORTS,SUPPORTS,SUPPORTS
Humphrey Bogart is incapable of acting.,Humphrey Bogart,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,,Humphrey Bogart position held incapable,kg_retrieve,,,,True,Humphrey Bogart has held the position of incapable.,0.011,0.0005,0.9884,NOT_ENOUGH_INFO,0.9884,REFUTES,REFUTES,NOT_ENOUGH_INFO
Ron Weasley is a character in the Harry Potter series.,Ron Weasley,be,character,character,P39,medium,kg_retrieve,rule,,,,Ron Weasley position held character,kg_retrieve,,,,True,Ron Weasley has held the position of character.,0.0176,0.0006,0.9818,NOT_ENOUGH_INFO,0.9818,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Private Lives is a tragedy of manners by Noel Coward.,Lives,be,tragedy,tragedy,P39,medium,kg_retrieve,rule,,,,Lives position held tragedy,kg_retrieve,,,,True,Lives has held the position of tragedy.,0.0002,0.0191,0.9808,NOT_ENOUGH_INFO,0.9808,REFUTES,REFUTES,NOT_ENOUGH_INFO
Don Bradman was anything but a Test player.,Don Bradman,be,player,player,P39,medium,kg_retrieve,rule,,,,Don Bradman position held player,kg_retrieve,,,,True,Don Bradman has held the position of player.,0.0004,0.9936,0.006,REFUTES,0.9936,REFUTES,REFUTES,REFUTES
Mike Huckabee has been mayor of Pittsburgh for his entire political career.,Mike Huckabee,be,mayor,mayor,P39,medium,kg_retrieve,rule,,,,Mike Huckabee position held mayor,kg_retrieve,,,,True,Mike Huckabee has held the position of mayor.,0.0001,0.0033,0.9966,NOT_ENOUGH_INFO,0.9966,REFUTES,REFUTES,NOT_ENOUGH_INFO
Jamie Murray is a champion of the Davis Cup.,Jamie Murray,be,champion,champion,P39,medium,kg_retrieve,rule,,,,Jamie Murray position held champion,kg_retrieve,,,,True,Jamie Murray has held the position of champion.,0.0001,0.0002,0.9997,NOT_ENOUGH_INFO,0.9997,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Janet Leigh starred in Twilight.,Twilight,stars_in,Janet Leigh,Janet Leigh,P161,medium,kg_retrieve,rule,,,,Twilight cast member Janet Leigh,kg_retrieve,,,,True,Twilight has Janet Leigh as a cast member.,0.9928,0.0003,0.0069,SUPPORTS,0.9928,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
L.A. Reid has served as the CEO of an American record label owned by Universal Music Group.,L.A. Reid,served_as,chief executive officer,chief executive officer,P39,medium,kg_retrieve,rule,,,,L.A. Reid position held chief executive officer,kg_retrieve,,,,True,L.A. Reid has held the position of chief executive officer.,0.0003,0.0002,0.9995,NOT_ENOUGH_INFO,0.9995,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Jean-Michel Basquiat died of a heart attack.,Jean-Michel Basquiat,died,,,P570,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,REFUTES,REFUTES,NOT_ENOUGH_INFO
"Kelly Preston starred in multiple films like The Cat in the Hat, Old Dogs, and Broken Bridges.","multiple films like The Cat in the Hat, Old Dogs, and Broken Bridges",stars_in,Kelly Preston,Kelly Preston,P161,medium,kg_retrieve,rule,,,,"multiple films like The Cat in the Hat, Old Dogs, and Broken Bridges cast member Kelly Preston",kg_retrieve,,,,True,"multiple films like The Cat in the Hat, Old Dogs, and Broken Bridges has Kelly Preston as a cast member.",0.9946,0.0004,0.0049,SUPPORTS,0.9946,SUPPORTS,SUPPORTS,SUPPORTS
Terry Crews only played in the NHL.,NHL,played_in,Terry Crews,Terry Crews,P161,medium,kg_retrieve,rule,,,,NHL cast member Terry Crews,kg_retrieve,,,,True,NHL has Terry Crews as a cast member.,0.0487,0.0012,0.9501,NOT_ENOUGH_INFO,0.9501,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
"Otto I, Holy Roman Emperor started the Hungarian invasions.",Otto I,start,Otto I,Otto I,P112,medium,kg_retrieve,semantic_assist,,start,,Otto I founded by Otto I,kg_retrieve,,,,True,Otto I was founded by Otto I.,0.0,0.9504,0.0496,REFUTES,0.9504,NOT ENOUGH INFO,NOT_ENOUGH_INFO,REFUTES
Margaret Thatcher was the first woman to lead a major political party in Australia.,Margaret Thatcher,be,party,party,P39,medium,kg_retrieve,rule,,,,Margaret Thatcher position held party,kg_retrieve,,,,True,Margaret Thatcher has held the position of party.,0.0003,0.0001,0.9996,NOT_ENOUGH_INFO,0.9996,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Game of Thrones (season 7) is incapable of being involved with Jim Broadbent.,Game,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,,Game position held incapable,kg_retrieve,,,,True,Game has held the position of incapable.,0.0001,0.0016,0.9983,NOT_ENOUGH_INFO,0.9983,REFUTES,REFUTES,NOT_ENOUGH_INFO
Manmohan Singh was the first Sikh in office in 2009.,Manmohan Singh,be,first sikh,first sikh,P39,medium,kg_retrieve,rule,,,,Manmohan Singh position held first sikh,kg_retrieve,,,,True,Manmohan Singh has held the position of first sikh.,0.0002,0.0002,0.9995,NOT_ENOUGH_INFO,0.9995,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Caroline Kennedy served as an ambassador.,Caroline Kennedy,served_as,ambassador,ambassador,P39,medium,kg_retrieve,rule,,,,Caroline Kennedy position held ambassador,kg_retrieve,,,,True,Caroline Kennedy has held the position of ambassador.,0.9974,0.0001,0.0024,SUPPORTS,0.9974,SUPPORTS,SUPPORTS,SUPPORTS
Ann Richards was the 45th Mayor of Texas.,Ann Richards,be,mayor,mayor,P39,medium,kg_retrieve,rule,,,,Ann Richards position held mayor,kg_retrieve,,,,True,Ann Richards has held the position of mayor.,0.0001,0.0004,0.9995,NOT_ENOUGH_INFO,0.9995,REFUTES,REFUTES,NOT_ENOUGH_INFO
Taylor Lautner was born after the finale of The Bernie Mac Show.,Taylor Lautner,born,,,P19,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,REFUTES,REFUTES,NOT_ENOUGH_INFO
The daughter of Lindsay Otto is Miranda Otto.,daughter,be,miranda otto,miranda otto,P39,medium,kg_retrieve,rule,,,,daughter position held miranda otto,kg_retrieve,,,,True,daughter has held the position of miranda otto.,0.9951,0.0004,0.0045,SUPPORTS,0.9951,SUPPORTS,SUPPORTS,SUPPORTS
Miley Cyrus's younger sister is Noah Cyrus.,Miley Cyrus,be,noah cyrus,noah cyrus,P39,medium,kg_retrieve,rule,,,,Miley Cyrus position held noah cyrus,kg_retrieve,,,,True,Miley Cyrus has held the position of noah cyrus.,0.0007,0.004,0.9954,NOT_ENOUGH_INFO,0.9954,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
The Armenian Genocide rarely was the extermination of Armenians who were mostly Ottoman citizens.,Genocide,be,extermination,extermination,P39,medium,kg_retrieve,rule,,,,Genocide position held extermination,kg_retrieve,,,,True,Genocide has held the position of extermination.,0.0005,0.0007,0.9987,NOT_ENOUGH_INFO,0.9987,REFUTES,REFUTES,NOT_ENOUGH_INFO
Aaron Burr's final year of his single term vice presidency was 1804.,Aaron Burr,be,1804,1804,P39,medium,kg_retrieve,rule,,,,Aaron Burr position held 1804,kg_retrieve,,,,True,Aaron Burr has held the position of 1804.,0.0006,0.0003,0.9992,NOT_ENOUGH_INFO,0.9992,REFUTES,REFUTES,NOT_ENOUGH_INFO
James Earl Jones was a viewer of The Lion King.,James Earl Jones,be,viewer,viewer,P39,medium,kg_retrieve,rule,,,,James Earl Jones position held viewer,kg_retrieve,,,,True,James Earl Jones has held the position of viewer.,0.0001,0.0028,0.9971,NOT_ENOUGH_INFO,0.9971,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Jack Falahee was born in a box.,Jack Falahee,born,,,P19,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Alice Cooper's career has been long.,Alice Cooper,be,long,long,P39,medium,kg_retrieve,rule,,,,Alice Cooper position held long,kg_retrieve,,,,True,Alice Cooper has held the position of long.,0.995,0.0001,0.0049,SUPPORTS,0.995,SUPPORTS,SUPPORTS,SUPPORTS
"Luis Fonsi's given name, which he does not use when performing, is Luis Alfonso Rodríguez López-Cepero.",Luis Fonsi,be,lópez-cepero,lópez-cepero,P39,medium,kg_retrieve,rule,,,,Luis Fonsi position held lópez-cepero,kg_retrieve,,,,True,Luis Fonsi has held the position of lópez-cepero.,0.003,0.6568,0.3401,REFUTES,0.6568,NOT ENOUGH INFO,NOT_ENOUGH_INFO,REFUTES
Smriti Mandhana has always been unable to play sports.,Smriti Mandhana,be,sports,sports,P39,medium,kg_retrieve,rule,,,,Smriti Mandhana position held sports,kg_retrieve,,,,True,Smriti Mandhana has held the position of sports.,0.0,0.9996,0.0004,REFUTES,0.9996,REFUTES,REFUTES,REFUTES
Janelle Monáe Robinson is Janelle Monáe's full name.,Janelle Monáe Robinson,be,name,name,P39,medium,kg_retrieve,rule,,,,Janelle Monáe Robinson position held name,kg_retrieve,,,,True,Janelle Monáe Robinson has held the position of name.,0.0692,0.0496,0.8812,NOT_ENOUGH_INFO,0.8812,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Barry Van Dyke is the last son of Dick Van Dyke.,Barry Van Dyke,be,last son,last son,P39,medium,kg_retrieve,rule,,,,Barry Van Dyke position held last son,kg_retrieve,,,,True,Barry Van Dyke has held the position of last son.,0.1148,0.0009,0.8843,NOT_ENOUGH_INFO,0.8843,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Noah Cyrus is the youngest adviser of Billy Ray Cyrus.,Noah Cyrus,be,youngest adviser,youngest adviser,P39,medium,kg_retrieve,rule,,,,Noah Cyrus position held youngest adviser,kg_retrieve,,,,True,Noah Cyrus has held the position of youngest adviser.,0.0015,0.0005,0.998,NOT_ENOUGH_INFO,0.998,REFUTES,REFUTES,NOT_ENOUGH_INFO
Simón Bolívar was a secretary and police officer.,Simón Bolívar,be,officer,officer,P39,medium,kg_retrieve,rule,,,,Simón Bolívar position held officer,kg_retrieve,,,,True,Simón Bolívar has held the position of officer.,0.0019,0.3544,0.6437,NOT_ENOUGH_INFO,0.6437,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Ralph Fults was a Roaring Twenties era outlaw and escape artist.,Ralph Fults,be,artist,artist,P39,medium,kg_retrieve,rule,,,,Ralph Fults position held artist,kg_retrieve,,,,True,Ralph Fults has held the position of artist.,0.0,0.8713,0.1287,REFUTES,0.8713,NOT ENOUGH INFO,NOT_ENOUGH_INFO,REFUTES
"Duane Chapman's father is ""Dog.""",Duane Chapman,be,dog,dog,P39,medium,kg_retrieve,rule,,,,Duane Chapman position held dog,kg_retrieve,,,,True,Duane Chapman has held the position of dog.,0.0056,0.0114,0.983,NOT_ENOUGH_INFO,0.983,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Kelly Preston starred in multiple television shows.,multiple television shows,stars_in,Kelly Preston,Kelly Preston,P161,medium,kg_retrieve,rule,,,,multiple television shows cast member Kelly Preston,kg_retrieve,,,,True,multiple television shows has Kelly Preston as a cast member.,0.9897,0.0004,0.0099,SUPPORTS,0.9897,SUPPORTS,SUPPORTS,SUPPORTS
Derek Hough starred in a Romeo and Juliet-inspired movie.,Romeo and Juliet-inspired movie,stars_in,Derek Hough,Derek Hough,P161,medium,kg_retrieve,rule,,,,Romeo and Juliet-inspired movie cast member Derek Hough,kg_retrieve,,,,True,Romeo and Juliet-inspired movie has Derek Hough as a cast member.,0.9927,0.001,0.0064,SUPPORTS,0.9927,SUPPORTS,SUPPORTS,SUPPORTS
Renato Balestra was born in a plane.,Renato Balestra,born,,,P19,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Caroline Kennedy served as president.,Caroline Kennedy,served_as,president,president,P39,medium,kg_retrieve,rule,,,,Caroline Kennedy position held president,kg_retrieve,,,,True,Caroline Kennedy has held the position of president.,0.9966,0.0002,0.0033,SUPPORTS,0.9966,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
L.A. Reid has served as the chairman of an American record label group formed in Italy.,L.A. Reid,served_as,chairman,chairman,P39,medium,kg_retrieve,rule,,,,L.A. Reid position held chairman,kg_retrieve,,,,True,L.A. Reid has held the position of chairman.,0.0002,0.0005,0.9993,NOT_ENOUGH_INFO,0.9993,REFUTES,REFUTES,NOT_ENOUGH_INFO
Bhagat Singh died.,Bhagat Singh,died,,,P570,low,kg_retrieve,rule,,,,,kg_retrieve,,,,False,,,,,NOT_ENOUGH_INFO,,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Adam Sandler is absent from the cast of Reign Over Me.,Adam Sandler,be,absent,absent,P39,medium,kg_retrieve,rule,,,,Adam Sandler position held absent,kg_retrieve,,,,True,Adam Sandler has held the position of absent.,0.0002,0.0011,0.9987,NOT_ENOUGH_INFO,0.9987,REFUTES,REFUTES,NOT_ENOUGH_INFO
Tom Baker is incapable of getting involved with narrating commercials.,Tom Baker,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,,Tom Baker position held incapable,kg_retrieve,,,,True,Tom Baker has held the position of incapable.,0.0002,0.0003,0.9996,NOT_ENOUGH_INFO,0.9996,REFUTES,REFUTES,NOT_ENOUGH_INFO
Nestor Carbonell played Godzilla in Lost.,Lost,played_in,Nestor Carbonell,Nestor Carbonell,P161,medium,kg_retrieve,rule,,,,Lost cast member Nestor Carbonell,kg_retrieve,,,,True,Lost has Nestor Carbonell as a cast member.,0.0013,0.5413,0.4575,REFUTES,0.5413,REFUTES,REFUTES,REFUTES
Bret Easton Ellis wrote the screenplay for a friend.,Bret Easton Ellis,written_by,Bret Easton Ellis,Bret Easton Ellis,P58,medium,kg_retrieve,semantic_assist,,write,,Bret Easton Ellis screenwriter Bret Easton Ellis,kg_retrieve,,,,True,Bret Easton Ellis was written by Bret Easton Ellis.,0.0002,0.0008,0.999,NOT_ENOUGH_INFO,0.999,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Don Hall is a critic of Walt Disney Animation Studios.,Don Hall,be,critic,critic,P39,medium,kg_retrieve,rule,,,,Don Hall position held critic,kg_retrieve,,,,True,Don Hall has held the position of critic.,0.0001,0.0006,0.9993,NOT_ENOUGH_INFO,0.9993,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
Johanna Braddy starred in a dark comedy-drama tv series in the Bahamas.,dark comedy-drama tv series in the Bahamas,stars_in,Johanna Braddy,Johanna Braddy,P161,medium,kg_retrieve,rule,,,,dark comedy-drama tv series in the Bahamas cast member Johanna Braddy,kg_retrieve,,,,True,dark comedy-drama tv series in the Bahamas has Johanna Braddy as a cast member.,0.9893,0.0006,0.0101,SUPPORTS,0.9893,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
